Obs	SALARIO_BASE	GASTO_EN_SAL
110	" $37,779.47 "	 $25.15 
111	" $28,061.60 "	 $29.27 
112	" $17,791.86 "	 $25.41 
113	" $23,901.87 "	 $37.73 
114	" $22,048.14 "	 $17.17 
115	" $35,530.10 "	 $20.30 
116	" $48,648.54 "	 $22.88 
117	" $33,329.07 "	 $22.28 
118	" $28,864.35 "	 $24.06 
119	" $13,412.22 "	 $26.05 
120	" $55,791.01 "	 $31.86 
121	" $62,449.32 "	 $33.91 
122	" $26,656.67 "	 $24.83 
123	" $14,413.94 "	 $25.94 
124	" $31,132.26 "	 $28.55 
125	" $86,486.23 "	 $21.28 
126	" $21,045.87 "	 $25.80 
127	" $21,996.18 "	 $24.24 
128	" $26,473.91 "	 $32.56 
129	" $41,766.16 "	 $19.86 
130	" $16,665.10 "	 $21.69 
131	" $32,044.32 "	 $30.54 
132	" $32,644.56 "	 $26.27 
133	" $38,102.33 "	 $26.53 
134	" $15,913.08 "	 $31.56 
135	" $17,359.47 "	 $23.71 
136	" $25,403.60 "	 $21.29 
137	" $21,415.96 "	 $25.34 
138	" $31,912.84 "	 $24.79 
139	" $56,518.15 "	 $26.22 
140	" $52,646.15 "	 $30.69 
141	" $35,346.86 "	 $29.82 
142	" $30,544.90 "	 $20.87 
143	" $27,779.33 "	 $25.14 
144	" $51,640.23 "	 $15.59 
145	" $15,766.24 "	 $23.60 
146	" $28,920.10 "	 $21.77 
147	" $16,212.05 "	 $18.39 
148	" $24,610.06 "	 $17.13 
149	" $21,538.23 "	 $24.45 
150	" $23,286.75 "	 $28.01 
151	" $12,665.10 "	 $28.03 
152	" $17,547.63 "	 $27.36 
153	" $26,458.90 "	 $28.74 
154	" $48,504.88 "	 $22.40 
155	" $29,994.65 "	 $22.37 
156	" $14,673.77 "	 $21.53 
157	" $25,156.72 "	 $21.62 
158	" $39,654.19 "	 $22.51 
159	" $29,867.11 "	 $17.75 
160	" $26,498.51 "	 $25.80 
161	" $64,137.35 "	 $23.26 
162	" $31,113.22 "	 $19.99 
163	" $42,105.25 "	 $27.08 
164	" $26,135.81 "	 $26.32 
165	" $19,604.30 "	 $19.12 
166	" $26,586.38 "	 $30.76 
167	" $43,448.42 "	 $23.77 
168	" $21,687.11 "	 $19.72 
169	" $19,579.00 "	 $38.43 
170	" $11,442.32 "	 $28.34 
171	" $37,666.51 "	 $21.21 
172	" $32,708.43 "	 $21.55 
173	" $35,177.35 "	 $19.91 
174	" $40,403.29 "	 $30.92 
175	" $18,576.98 "	 $25.82 
176	" $23,726.97 "	 $19.39 
177	" $15,516.26 "	 $20.63 
178	" $33,745.99 "	 $29.91 
179	" $34,362.90 "	 $27.38 
180	" $23,654.94 "	 $13.65 
181	" $25,940.41 "	 $20.93 
182	" $21,000.52 "	 $19.23 
183	" $33,065.37 "	 $24.96 
184	" $46,238.55 "	 $23.51 
185	" $43,989.57 "	 $20.97 
186	" $16,777.48 "	 $20.77 
187	" $36,470.57 "	 $28.43 
188	" $47,036.43 "	 $28.35 
189	" $41,177.60 "	 $23.92 
190	" $29,008.43 "	 $35.92 
191	" $29,349.94 "	 $20.82 
192	" $23,505.26 "	 $29.54 
193	" $36,926.40 "	 $29.01 
194	" $61,113.28 "	 $23.55 
195	" $18,973.12 "	 $21.43 
196	" $36,790.60 "	 $28.86 
197	" $13,759.67 "	 $24.66 
198	" $31,443.71 "	 $24.34 
199	" $21,916.68 "	 $7.35 
200	" $48,615.41 "	 $12.38 
201	" $35,442.16 "	 $23.33 
202	" $45,059.41 "	 $23.94 
203	" $36,776.19 "	 $15.12 
204	" $14,951.93 "	 $23.99 
205	" $12,951.53 "	 $22.69 
206	" $19,296.60 "	 $25.86 
207	" $30,250.32 "	 $19.69 
208	" $24,244.63 "	 $20.37 
209	" $65,242.44 "	 $32.97 
210	" $40,032.77 "	 $28.48 
211	" $34,359.34 "	 $25.89 
212	" $25,936.72 "	 $16.41 
213	" $28,388.14 "	 $32.04 
214	" $32,450.51 "	 $25.68 
215	" $26,812.81 "	 $30.39 
216	" $56,575.21 "	 $26.06 
217	" $36,650.49 "	 $25.98 
218	" $43,151.20 "	 $29.91 
219	" $26,377.34 "	 $19.84 
220	" $29,693.76 "	 $22.57 
221	" $45,363.46 "	 $15.44 
222	" $37,074.49 "	 $21.82 
223	" $33,836.60 "	 $24.85 
224	" $16,074.86 "	 $28.68 
225	" $22,087.84 "	 $27.80 
226	" $47,632.38 "	 $29.80 
227	" $72,452.46 "	 $20.84 
228	" $28,990.82 "	 $21.83 
229	" $27,459.34 "	 $26.30 
230	" $24,625.13 "	 $25.04 
231	" $28,461.86 "	 $22.64 
232	" $29,376.78 "	 $38.70 
233	" $50,475.51 "	 $25.58 
234	" $17,550.31 "	 $22.58 
235	" $59,521.38 "	 $21.66 
236	" $24,311.97 "	 $21.35 
237	" $22,933.57 "	 $20.38 
238	" $31,850.67 "	 $34.37 
239	" $22,644.08 "	 $25.29 
240	" $30,032.44 "	 $26.06 
241	" $17,639.20 "	 $24.37 
242	" $33,026.40 "	 $29.13 
243	" $25,874.23 "	 $18.98 
244	" $13,525.03 "	 $31.84 
245	" $62,093.00 "	 $23.04 
246	" $23,018.11 "	 $26.12 
247	" $30,397.49 "	 $25.33 
248	" $25,885.30 "	 $22.00 
249	" $27,459.03 "	 $27.48 
250	" $29,125.31 "	 $23.20 
251	" $21,829.99 "	 $21.32 
252	" $44,877.55 "	 $14.53 
253	" $61,398.44 "	 $23.27 
254	" $23,999.55 "	 $12.96 
255	" $59,418.84 "	 $27.44 
256	" $46,362.86 "	 $27.93 
257	" $61,252.80 "	 $28.78 
258	" $52,713.74 "	 $20.40 
259	" $47,081.12 "	 $20.35 
260	" $30,693.23 "	 $14.91 
261	" $19,083.90 "	 $25.36 
262	" $20,697.45 "	 $33.09 
263	" $30,064.01 "	 $23.84 
264	" $55,474.74 "	 $21.81 
265	" $36,381.25 "	 $30.79 
266	" $30,477.63 "	 $30.08 
267	" $25,654.64 "	 $24.40 
268	" $26,222.70 "	 $26.53 
269	" $34,152.55 "	 $24.68 
270	" $16,347.39 "	 $22.77 
271	" $20,811.26 "	 $26.20 
272	" $19,464.02 "	 $27.97 
273	" $12,693.55 "	 $22.08 
274	" $17,915.16 "	 $28.87 
275	" $44,183.06 "	 $16.76 
276	" $31,087.88 "	 $33.33 
277	" $17,314.44 "	 $20.40 
278	" $33,233.54 "	 $29.17 
279	" $47,848.76 "	 $17.91 
280	" $45,654.57 "	 $27.33 
281	" $12,874.84 "	 $17.16 
282	" $4,734.81 "	 $25.70 
283	" $34,304.92 "	 $27.56 
284	" $11,132.93 "	 $29.88 
285	" $24,329.13 "	 $23.46 
286	" $15,452.58 "	 $30.24 
287	" $50,887.65 "	 $26.31 
288	" $13,167.07 "	 $22.27 
289	" $38,783.77 "	 $32.80 
290	" $48,005.79 "	 $25.50 
291	" $26,379.59 "	 $24.97 
292	" $33,958.14 "	 $27.32 
293	" $43,604.81 "	 $17.57 
294	" $49,506.46 "	 $22.56 
295	" $16,895.23 "	 $27.53 
296	" $28,648.06 "	 $25.51 
297	" $40,710.20 "	 $21.76 
298	" $43,527.06 "	 $16.79 
299	" $23,177.22 "	 $20.89 
300	" $31,913.40 "	 $20.26 
301	" $46,277.47 "	 $27.39 
302	" $20,382.17 "	 $20.51 
303	" $24,057.62 "	 $22.00 
304	" $14,077.51 "	 $23.30 
305	" $25,048.43 "	 $21.18 
306	" $46,066.15 "	 $25.56 
307	" $43,076.50 "	 $27.57 
308	" $29,163.93 "	 $28.01 
309	" $14,878.29 "	 $17.39 
310	" $26,847.93 "	 $23.29 
311	" $28,877.77 "	 $20.15 
312	" $29,597.65 "	 $34.18 
313	" $24,109.13 "	 $24.67 
314	" $31,535.85 "	 $22.38 
315	" $22,510.77 "	 $27.17 
316	" $24,333.77 "	 $24.79 
317	" $21,615.33 "	 $26.82 
318	" $20,645.77 "	 $25.38 
319	" $17,636.10 "	 $24.16 
320	" $45,312.13 "	 $28.17 
321	" $24,343.38 "	 $26.20 
322	" $22,195.88 "	 $25.28 
323	" $43,935.37 "	 $30.80 
324	" $20,458.83 "	 $25.59 
325	" $13,436.44 "	 $35.13 
326	" $33,005.28 "	 $30.15 
327	" $23,968.69 "	 $29.10 
328	" $35,784.04 "	 $22.14 
329	" $29,167.37 "	 $24.78 
330	" $21,444.12 "	 $13.50 
331	" $29,453.83 "	 $27.24 
332	" $16,342.49 "	 $27.28 
333	" $20,847.96 "	 $17.86 
334	" $29,611.92 "	 $27.66 
335	" $23,332.54 "	 $32.96 
336	" $47,251.31 "	 $23.81 
337	" $21,141.16 "	 $21.24 
338	" $14,080.94 "	 $24.92 
339	" $17,727.85 "	 $20.20 
340	" $17,186.55 "	 $19.80 
341	" $45,343.27 "	 $23.30 
342	" $20,827.63 "	 $23.90 
343	" $46,874.60 "	 $17.60 
344	" $31,536.58 "	 $23.48 
345	" $18,361.42 "	 $32.15 
346	" $22,012.03 "	 $18.92 
347	" $43,273.43 "	 $19.21 
348	" $25,324.21 "	 $20.31 
349	" $34,611.34 "	 $33.61 
350	" $16,289.16 "	 $22.56 
351	" $37,014.74 "	 $27.86 
352	" $21,224.79 "	 $26.60 
353	" $17,523.02 "	 $23.87 
354	" $35,072.14 "	 $27.59 
355	" $53,265.29 "	 $30.10 
356	" $35,721.57 "	 $26.42 
357	" $29,317.21 "	 $23.73 
358	" $59,032.99 "	 $23.37 
359	" $29,979.16 "	 $32.18 
360	" $26,892.47 "	 $23.42 
361	" $15,640.01 "	 $20.66 
362	" $33,308.40 "	 $19.56 
363	" $23,624.63 "	 $17.72 
364	" $30,713.12 "	 $18.08 
365	" $33,490.00 "	 $19.06 
366	" $46,542.30 "	 $19.84 
367	" $28,424.34 "	 $17.57 
368	" $22,010.81 "	 $28.94 
369	" $43,039.48 "	 $18.64 
370	" $17,005.37 "	 $24.42 
371	" $27,184.83 "	 $31.89 
372	" $15,832.99 "	 $20.22 
373	" $23,020.79 "	 $32.01 
374	" $18,756.03 "	 $19.00 
375	" $21,186.72 "	 $35.83 
376	" $21,622.51 "	 $23.65 
377	" $49,022.42 "	 $24.94 
378	" $37,433.15 "	 $25.58 
379	" $19,197.65 "	 $19.84 
380	" $31,850.48 "	 $23.72 
381	" $19,228.75 "	 $29.18 
382	" $27,749.79 "	 $23.04 
383	" $30,408.43 "	 $26.13 
384	" $25,951.08 "	 $30.93 
385	" $23,921.56 "	 $28.56 
386	" $23,748.76 "	 $18.50 
387	" $36,780.46 "	 $28.69 
388	" $14,171.55 "	 $30.94 
389	" $24,909.10 "	 $39.09 
390	" $24,431.86 "	 $25.70 
391	" $19,974.44 "	 $32.93 
392	" $36,295.88 "	 $32.21 
393	" $13,480.35 "	 $32.61 
394	" $17,075.35 "	 $21.77 
395	" $31,066.06 "	 $13.10 
396	" $35,300.64 "	 $25.67 
397	" $27,656.45 "	 $21.70 
398	" $19,969.28 "	 $15.81 
399	" $47,081.22 "	 $25.33 
400	" $25,305.47 "	 $26.50 
401	" $26,882.64 "	 $28.15 
402	" $18,108.55 "	 $20.13 
403	" $19,947.93 "	 $23.20 
404	" $47,778.05 "	 $21.56 
405	" $14,579.88 "	 $20.49 
406	" $34,422.12 "	 $23.29 
407	" $27,285.21 "	 $28.19 
408	" $52,556.14 "	 $16.56 
409	" $33,536.24 "	 $33.22 
410	" $26,852.61 "	 $23.70 
411	" $22,810.25 "	 $18.03 
412	" $21,128.69 "	 $18.55 
413	" $22,772.65 "	 $28.84 
414	" $55,464.22 "	 $20.91 
415	" $50,599.02 "	 $19.29 
416	" $27,083.76 "	 $17.19 
417	" $33,999.13 "	 $25.78 
418	" $15,104.44 "	 $20.02 
419	" $56,964.52 "	 $17.22 
420	" $26,692.33 "	 $23.83 
421	" $27,363.66 "	 $27.71 
422	" $17,928.24 "	 $25.06 
423	" $56,447.00 "	 $27.04 
424	" $31,098.85 "	 $28.47 
425	" $45,592.11 "	 $21.29 
426	" $16,136.13 "	 $23.60 
427	" $19,426.54 "	 $25.35 
428	" $14,378.37 "	 $30.02 
429	" $27,625.31 "	 $19.87 
430	" $32,438.69 "	 $24.73 
431	" $23,408.88 "	 $28.20 
432	" $51,039.62 "	 $31.84 
433	" $25,717.14 "	 $22.54 
434	" $25,586.01 "	 $25.16 
435	" $36,003.94 "	 $27.47 
436	" $60,905.16 "	 $22.79 
437	" $18,152.58 "	 $17.51 
438	" $33,413.42 "	 $22.26 
439	" $21,616.60 "	 $21.83 
440	" $16,806.88 "	 $16.15 
441	" $21,186.35 "	 $18.75 
442	" $21,518.70 "	 $16.42 
443	" $56,597.43 "	 $20.93 
444	" $44,450.44 "	 $25.50 
445	" $23,320.23 "	 $23.52 
446	" $40,680.54 "	 $18.21 
447	" $16,552.74 "	 $35.83 
448	" $47,022.02 "	 $22.19 
449	" $48,379.34 "	 $25.19 
450	" $16,760.32 "	 $22.23 
451	" $45,177.51 "	 $35.38 
452	" $26,751.84 "	 $28.11 
453	" $41,953.66 "	 $20.30 
454	" $24,058.50 "	 $23.04 
455	" $39,551.12 "	 $29.80 
456	" $16,082.52 "	 $28.11 
457	" $9,621.50 "	 $28.96 
458	" $28,317.99 "	 $24.80 
459	" $53,478.05 "	 $17.93 
460	" $40,729.05 "	 $21.34 
461	" $16,771.48 "	 $31.42 
462	" $18,850.18 "	 $27.76 
463	" $37,687.23 "	 $25.95 
464	" $42,252.09 "	 $29.21 
465	" $35,961.65 "	 $17.77 
466	" $30,336.49 "	 $24.04 
467	" $24,068.71 "	 $22.59 
468	" $12,589.39 "	 $24.89 
469	" $35,034.81 "	 $27.56 
470	" $57,394.16 "	 $23.46 
471	" $50,176.61 "	 $31.81 
472	" $35,348.37 "	 $19.91 
473	" $20,218.15 "	 $19.44 
474	" $25,219.31 "	 $23.46 
475	" $19,837.93 "	 $22.21 
476	" $18,604.37 "	 $27.82 
477	" $20,420.59 "	 $23.36 
478	" $23,358.77 "	 $24.02 
479	" $36,197.70 "	 $23.73 
480	" $33,069.95 "	 $18.97 
481	" $49,359.06 "	 $27.01 
482	" $47,298.24 "	 $22.68 
483	" $22,771.59 "	 $18.47 
484	" $44,810.50 "	 $21.46 
485	" $28,775.86 "	 $22.54 
486	" $19,445.02 "	 $22.03 
487	" $18,045.78 "	 $21.35 
488	" $20,219.46 "	 $31.08 
489	" $34,006.41 "	 $25.55 
490	" $19,303.68 "	 $20.17 
491	" $19,377.71 "	 $20.51 
492	" $39,379.70 "	 $27.90 
493	" $77,951.84 "	 $32.40 
494	" $29,943.87 "	 $30.28 
495	" $23,383.31 "	 $26.11 
496	" $44,793.13 "	 $21.45 
497	" $22,294.33 "	 $20.35 
498	" $31,625.81 "	 $24.43 
499	" $27,159.04 "	 $25.88 
500	" $38,449.46 "	 $19.07 
501	" $49,339.74 "	 $30.56 
502	" $29,782.80 "	 $23.18 
503	" $22,232.82 "	 $24.07 
504	" $29,903.95 "	 $18.97 
505	" $20,399.34 "	 $29.32 
506	" $41,085.24 "	 $29.25 
507	" $44,489.28 "	 $27.12 
508	" $29,295.26 "	 $22.32 
509	" $13,615.86 "	 $28.38 
510	" $12,574.72 "	 $13.65 
511	" $27,100.61 "	 $21.87 
512	" $27,345.95 "	 $29.52 
513	" $54,912.00 "	 $20.58 
514	" $25,886.93 "	 $32.87 
515	" $36,834.73 "	 $28.54 
516	" $27,594.40 "	 $25.33 
517	" $29,358.76 "	 $24.92 
518	" $33,643.96 "	 $18.77 
519	" $20,018.47 "	 $33.08 
520	" $15,152.53 "	 $35.83 
521	" $18,790.16 "	 $16.48 
522	" $12,676.89 "	 $13.01 
523	" $21,972.53 "	 $26.27 
524	" $31,216.69 "	 $24.91 
525	" $19,193.81 "	 $23.46 
526	" $44,221.13 "	 $25.77 
527	" $33,350.72 "	 $21.88 
528	" $15,253.45 "	 $30.83 
529	" $25,797.07 "	 $13.49 
530	" $46,781.26 "	 $28.08 
531	" $28,342.13 "	 $29.93 
532	" $24,965.10 "	 $25.32 
533	" $18,795.78 "	 $29.21 
534	" $19,167.83 "	 $22.43 
535	" $31,094.41 "	 $32.94 
536	" $12,660.39 "	 $20.71 
537	" $10,183.34 "	 $24.76 
538	" $27,941.62 "	 $26.50 
539	" $40,484.36 "	 $25.51 
540	" $21,211.47 "	 $25.52 
541	" $50,224.25 "	 $22.23 
542	" $15,167.97 "	 $23.64 
543	" $31,219.75 "	 $24.07 
544	" $70,090.66 "	 $27.50 
545	" $62,775.68 "	 $23.28 
546	" $14,503.66 "	 $28.51 
547	" $30,368.79 "	 $27.97 
548	" $24,198.14 "	 $26.21 
549	" $32,556.44 "	 $30.88 
550	" $19,713.54 "	 $17.15 
551	" $14,639.04 "	 $32.24 
552	" $29,121.52 "	 $20.62 
553	" $24,674.17 "	 $21.17 
554	" $18,085.88 "	 $23.03 
555	" $31,358.79 "	 $19.70 
556	" $29,721.76 "	 $20.51 
557	" $22,942.43 "	 $31.79 
558	" $21,694.85 "	 $29.97 
559	" $14,986.93 "	 $18.15 
560	" $30,377.15 "	 $25.21 
561	" $15,202.84 "	 $20.23 
562	" $28,847.17 "	 $23.92 
563	" $17,162.19 "	 $23.96 
564	" $20,582.32 "	 $24.32 
565	" $19,881.33 "	 $21.64 
566	" $12,104.89 "	 $25.01 
567	" $37,918.62 "	 $17.25 
568	" $58,726.07 "	 $17.19 
569	" $26,343.83 "	 $31.01 
570	" $38,844.27 "	 $30.98 
571	" $30,491.90 "	 $18.49 
572	" $27,706.57 "	 $27.97 
573	" $21,991.43 "	 $13.92 
574	" $32,288.39 "	 $24.87 
575	" $34,812.95 "	 $20.40 
576	" $18,940.45 "	 $16.51 
577	" $38,507.51 "	 $29.59 
578	" $26,286.10 "	 $30.46 
579	" $17,457.99 "	 $22.82 
580	" $21,324.39 "	 $32.29 
581	" $27,302.62 "	 $25.94 
582	" $19,007.68 "	 $19.53 
583	" $46,369.67 "	 $27.65 
584	" $19,962.12 "	 $26.60 
585	" $25,163.64 "	 $27.84 
586	" $31,641.77 "	 $24.94 
587	" $21,791.81 "	 $28.87 
588	" $29,782.38 "	 $23.47 
589	" $41,267.05 "	 $29.80 
590	" $35,295.39 "	 $31.27 
591	" $22,702.46 "	 $16.58 
592	" $24,438.47 "	 $32.07 
593	" $28,624.79 "	 $22.87 
594	" $36,435.22 "	 $29.74 
595	" $24,540.74 "	 $24.32 
596	" $22,045.40 "	 $29.95 
597	" $29,919.12 "	 $27.84 
598	" $14,260.30 "	 $19.05 
599	" $13,115.65 "	 $23.98 
600	" $15,271.04 "	 $29.68 
601	" $40,792.69 "	 $21.42 
602	" $23,935.71 "	 $29.65 
603	" $35,065.61 "	 $30.85 
604	" $29,479.13 "	 $31.50 
605	" $29,739.34 "	 $24.57 
606	" $35,765.27 "	 $26.86 
607	" $37,249.49 "	 $27.71 
608	" $54,033.72 "	 $17.64 
609	" $29,792.12 "	 $28.85 
610	" $47,253.23 "	 $28.69 
611	" $40,298.45 "	 $29.08 
612	" $27,458.33 "	 $22.29 
613	" $40,161.50 "	 $22.25 
614	" $20,127.68 "	 $35.60 
615	" $26,090.84 "	 $21.99 
616	" $15,148.93 "	 $20.59 
617	" $100,085.89 "	 $27.23 
618	" $40,773.90 "	 $20.72 
619	" $27,514.42 "	 $24.14 
620	" $22,627.94 "	 $24.09 
621	" $22,838.88 "	 $30.56 
622	" $34,741.71 "	 $25.57 
623	" $25,236.32 "	 $35.66 
624	" $18,083.37 "	 $20.40 
625	" $60,539.58 "	 $15.09 
626	" $16,952.36 "	 $23.13 
627	" $40,971.92 "	 $19.23 
628	" $19,561.14 "	 $28.96 
629	" $32,821.36 "	 $23.98 
630	" $21,153.53 "	 $25.74 
631	" $41,001.77 "	 $25.92 
632	" $22,597.72 "	 $32.46 
633	" $54,759.58 "	 $19.29 
634	" $24,717.10 "	 $22.43 
635	" $29,859.77 "	 $23.80 
636	" $19,333.81 "	 $27.65 
637	" $36,811.08 "	 $20.45 
638	" $31,740.75 "	 $22.24 
639	" $59,050.30 "	 $27.98 
640	" $28,345.38 "	 $26.26 
641	" $15,698.56 "	 $24.98 
642	" $17,745.90 "	 $21.32 
643	" $59,914.84 "	 $25.37 
644	" $47,112.62 "	 $33.07 
645	" $67,762.24 "	 $23.73 
646	" $23,948.19 "	 $21.50 
647	" $16,636.23 "	 $24.43 
648	" $17,983.30 "	 $23.01 
649	" $37,362.60 "	 $28.71 
650	" $21,713.67 "	 $19.79 
651	" $21,642.33 "	 $24.14 
652	" $20,418.00 "	 $22.12 
653	" $16,126.88 "	 $30.07 
654	" $39,293.94 "	 $29.52 
655	" $29,009.86 "	 $19.31 
656	" $19,677.41 "	 $21.07 
657	" $23,063.80 "	 $16.78 
658	" $28,029.73 "	 $21.23 
659	" $41,934.51 "	 $24.51 
660	" $30,095.63 "	 $26.76 
661	" $19,200.33 "	 $27.02 
662	" $28,930.62 "	 $31.04 
663	" $28,518.13 "	 $28.85 
664	" $33,174.37 "	 $29.65 
665	" $23,505.75 "	 $25.44 
666	" $13,812.46 "	 $29.07 
667	" $36,900.74 "	 $23.75 
668	" $22,345.21 "	 $24.45 
669	" $39,682.78 "	 $23.99 
670	" $20,227.93 "	 $28.30 
671	" $25,291.98 "	 $25.92 
672	" $34,553.76 "	 $25.76 
673	" $20,427.91 "	 $24.73 
674	" $27,019.87 "	 $30.31 
675	" $50,101.53 "	 $19.82 
676	" $81,426.28 "	 $19.74 
677	" $26,453.73 "	 $31.42 
678	" $20,721.71 "	 $36.17 
679	" $23,030.78 "	 $20.11 
680	" $27,208.54 "	 $32.02 
681	" $24,041.54 "	 $22.11 
682	" $48,437.49 "	 $25.87 
683	" $74,480.02 "	 $22.98 
684	" $26,418.58 "	 $31.03 
685	" $36,755.61 "	 $24.93 
686	" $23,274.93 "	 $27.17 
687	" $24,746.26 "	 $22.54 
688	" $18,054.97 "	 $21.49 
689	" $30,421.33 "	 $30.06 
690	" $35,603.87 "	 $34.06 
691	" $23,072.98 "	 $19.72 
692	" $17,234.74 "	 $20.52 
693	" $39,285.46 "	 $23.42 
694	" $24,816.93 "	 $29.29 
695	" $27,846.26 "	 $25.43 
696	" $15,038.21 "	 $24.59 
697	" $16,942.75 "	 $20.32 
698	" $12,793.08 "	 $18.10 
699	" $15,547.44 "	 $34.67 
700	" $13,574.87 "	 $25.17 
701	" $16,204.46 "	 $25.50 
702	" $22,479.50 "	 $27.52 
703	" $24,282.22 "	 $21.01 
704	" $40,917.86 "	 $20.54 
705	" $13,389.11 "	 $29.47 
706	" $42,578.16 "	 $28.60 
707	" $20,237.98 "	 $28.82 
708	" $20,766.56 "	 $25.08 
709	" $45,896.17 "	 $28.24 
710	" $21,883.19 "	 $34.33 
711	" $32,989.93 "	 $30.73 
712	" $20,111.45 "	 $19.78 
713	" $26,860.50 "	 $31.50 
714	" $43,523.62 "	 $23.78 
715	" $25,030.65 "	 $25.27 
716	" $10,885.49 "	 $25.70 
717	" $23,917.60 "	 $16.51 
718	" $23,255.16 "	 $13.84 
719	" $39,950.69 "	 $21.45 
720	" $30,114.78 "	 $14.68 
721	" $12,373.51 "	 $19.38 
722	" $23,165.87 "	 $23.30 
723	" $13,869.45 "	 $29.39 
724	" $25,061.67 "	 $22.95 
725	" $10,895.56 "	 $19.71 
726	" $26,500.14 "	 $29.55 
727	" $17,348.54 "	 $32.84 
728	" $29,040.54 "	 $24.44 
729	" $36,012.62 "	 $19.55 
730	" $12,646.53 "	 $26.88 
731	" $40,288.17 "	 $29.52 
732	" $41,664.25 "	 $27.67 
733	" $48,318.81 "	 $30.57 
734	" $26,545.16 "	 $19.05 
