Obs	HORAS_ESCANEANDO	ARTICULOS_ESCANEADOS
258	16.17	247.94
259	16.46	244.08
260	20.47	299.18
261	23.7	362.92
262	7.85	113.34
263	21.28	321.15
264	4.52	64.66
265	12.69	196.04
266	33	491.25
267	10.21	151.88
268	15.81	233.77
269	11.98	182.43
270	41.05	614
271	30.74	454.91
272	33.62	508.64
273	93.94	1412.7
274	9.37	140.07
275	47.95	722.22
276	21.29	319.3
277	4.47	64.92
278	32.82	503.35
279	33.34	507.56
280	20.92	310.88
281	16.36	242.93
282	23.78	347.93
283	11.61	169.89
284	49.47	749.42
285	19.14	286.55
286	21.04	317.7
287	16.91	263.93
288	14.05	214.98
289	7.28	106.57
290	23.72	348.54
291	28.46	424.38
292	11.55	180.86
293	13.16	197.52
294	25.92	387.12
295	22.24	322.41
296	10.14	154.45
297	17	246.18
298	46	683.32
299	47.06	715.34
300	19.48	278.6
301	39.91	604.49
302	46.08	692.65
303	12.95	194.13
304	20.21	307.32
305	9.43	144.14
306	34.16	503.67
307	75.77	1136.37
308	10.25	157.5
309	7.19	109.22
310	27.38	410.79
311	25.96	389.02
312	31.6	476.32
313	20.37	302.02
314	40.07	593.4
315	13.85	206.86
316	28.45	420.37
317	18.2	270.57
318	13.67	206.58
319	22.14	337.73
320	11.06	168.12
321	32.01	476.51
322	60.34	902.46
323	29.13	432.38
324	22.89	344.52
325	10.64	173.26
326	38.03	570
327	33.57	508.57
328	9.16	131.38
329	25.21	381.7
330	32.61	491.67
331	46.68	701.14
332	83.39	1257.04
333	14.58	217.53
334	10.57	159.23
335	21.15	313.01
336	15.85	235.52
337	6.38	95.87
338	8.49	123.87
339	20.36	311.26
340	48.66	729.32
341	32.1	482.88
342	20.01	305.64
343	19.59	299.57
344	15.22	237.56
345	30.1	458.45
346	41.74	626.69
347	15.14	230.28
348	24	360.4
349	15.61	241.05
350	13.17	198.54
351	8.4	123.14
352	15.83	242.77
353	19.16	281.83
354	11.68	176.37
355	58.58	874.57
356	19.99	306.41
357	31.73	481.56
358	27.8	414.5
359	8.9	133.07
360	20.61	308.81
361	11.96	186.06
362	20.53	314.56
363	8.49	126.11
364	21.44	323.84
365	10.39	148.35
366	61.37	921.27
367	32.38	485.78
368	10.79	151.83
369	32.12	486.91
370	22.96	344.18
371	24.66	362.76
372	41.52	627.63
373	24.91	380.19
374	20.51	306.16
375	29.03	433.16
376	15.29	225.08
377	19.58	289.26
378	91.38	1372.3
379	11.77	172.43
380	46.24	694.17
381	5.23	73.92
382	17.87	275.17
383	58.27	873.38
384	21.9	328.26
385	28.21	423.69
386	6.89	103.13
387	51.71	783.09
388	22.42	331.1
389	6.68	102.48
390	18.78	279.86
391	30.01	455.04
392	57.52	862.6
393	32.2	487.05
394	8.89	135.42
395	23.42	348.03
396	30.73	463.65
397	8.01	120.79
398	43.85	652.88
399	19.26	304.3
400	30.5	459.19
401	25.92	387.09
402	15.26	222.88
403	9.05	138.33
404	9.02	136.93
405	5.71	85.12
406	15.11	211.93
407	23.13	354.85
408	23.51	341.1
409	25.97	386.11
410	16.74	253.16
411	24.21	360.06
412	9.15	133.24
413	23.03	347.33
414	8.71	134.56
415	36.05	541.01
416	6.33	99.36
417	109.46	1638.37
418	27.42	411.17
419	14.92	227.65
420	41.22	620.97
421	45.21	672.16
422	63.65	948.53
423	47.08	715.13
424	19.32	292.62
425	27.8	417.94
426	29.34	438.49
427	7.58	114.46
428	58.51	889.12
429	24.97	376.74
430	14.76	219.69
431	34.66	516
432	8.34	122.6
433	14.66	215.88
434	29.48	445.64
435	25.96	391.8
436	25.77	390.24
437	29.08	435.68
438	27.02	400.13
439	26.14	386.5
440	22.08	326.34
441	32.57	485.73
442	23.32	350.19
443	26.28	403.97
444	17.74	267.1
445	26.75	398.73
446	8.77	130.35
447	32.79	494.56
448	30.66	458.6
449	30.48	459.12
450	24.64	370.42
451	23.54	346.56
452	35.96	531.65
453	9.59	151.83
454	18.96	279.82
455	44.74	669.88
456	23.6	354.92
457	7.16	109.28
458	6.91	116.33
459	18.44	281.51
460	64.6	966.05
461	19.56	295.69
462	23.46	351.42
463	42.57	633.4
464	28.84	432.23
465	27.67	415.25
466	23.67	338.66
467	9.76	153.96
468	14.24	216.57
469	19.43	289.29
470	19.64	297.22
471	18.5	273.32
472	53.07	803.75
473	19.41	291.71
474	26.24	396.22
475	8.1	115.84
476	32.05	482.5
477	52.94	799.63
478	72.08	1088.59
479	20.14	310.35
480	47.32	708.48
481	20.82	316.62
482	22.79	352.63
483	23.35	354.13
484	24.05	353.92
485	19.46	297.49
486	27.63	417.37
487	23.52	345.17
488	14.81	221.76
489	32.5	489.93
490	10.96	162.76
491	10.57	163.57
492	20.69	313.57
493	29.01	442.02
494	5.83	90.76
495	27.61	414.33
496	35.09	531.62
497	14.37	216.21
498	11.97	182.95
499	12.19	189.24
500	13.08	196.17
501	9.83	148.35
502	28.94	435.78
503	14.36	221.81
504	19.86	304.92
505	21.92	328.42
506	19.55	289.86
507	24.79	377.89
508	13.97	213.03
509	49.32	740.29
510	42.17	631.43
511	23.23	352.72
512	19.97	302.64
513	29.83	451.34
514	9.01	135.06
515	22.47	335.86
516	7.01	102.4
517	38.1	574.96
518	47.46	710.43
519	28.98	437.53
520	28.54	420.48
521	7.29	108.88
522	23.43	347.35
523	25.15	371.04
524	46.23	690.35
525	10.15	162.32
526	17.95	273.39
527	41.8	633.77
528	6.95	105.24
529	23.62	357.74
530	15.2	225.05
531	15.89	240.64
532	66.95	999.1
533	65.16	979.62
534	12.34	188.78
535	27.38	412.61
536	7.43	111.65
537	11.11	167.38
538	19.49	288.65
539	35.9	542.47
540	55.02	826.87
541	17.73	267.89
542	22.85	338.64
543	17.48	256.34
544	11.74	165.71
545	23.12	345.09
546	19.28	290.22
547	30.6	457.28
548	11.16	167.09
549	35.55	531.62
550	13.98	215.45
551	10.39	159.74
552	13.79	205.31
553	8.92	137.41
554	20.95	310.27
555	11.04	162.23
556	21.6	318.41
557	49.56	748.72
558	22.85	342.32
559	12.17	187.55
560	5.39	84.01
561	30.44	457.47
562	16.41	247.2
563	105.47	1586.71
564	26.09	391.19
565	7.32	102.97
566	15.7	233.43
567	12.81	197.09
568	16.68	252.99
569	24.16	364.92
570	11.21	175.6
571	25.84	395.42
572	13.12	193.89
573	16.48	242.61
574	22.17	337.1
575	8.11	115.75
576	10.13	146.98
577	31.78	477.86
578	16.4	243.35
579	9.31	139.28
580	7.92	121.46
581	70.4	1059.75
582	8.91	130.76
583	38.94	587.57
584	13.8	206.33
585	30.72	460.67
586	46.67	704.07
587	14.86	216.99
588	21.79	326.42
589	27.94	417.12
590	26.21	392.84
591	13.44	202.84
592	39.84	599.97
593	13.39	210.51
594	38.89	583.65
595	6.07	97.13
596	70.8	1055.77
597	11.24	173.15
598	65.31	977.01
599	14.58	213.69
600	31.34	472.29
601	19.36	287.56
602	7.08	98.37
603	50.55	752.24
604	51.01	760.5
605	7.09	102.4
606	15.52	240.11
607	39.41	579.88
608	29.26	442.27
609	60.19	900.93
610	15.32	229.8
611	23.65	356.1
612	23.06	333.93
613	4.78	73.56
614	39.62	594.15
615	6.6	101.15
616	56.85	859.73
617	16.09	240.03
618	24.24	363.21
619	18.37	270.68
620	19.58	293.05
621	8.65	129.63
622	42.23	644.97
623	39.04	591.02
624	11.57	184
625	14.84	224.78
626	18.45	283.35
627	27.95	410.69
628	49.17	727.94
629	13.29	202.04
630	20.45	304.42
631	14.52	218.85
632	25.96	396.65
633	23.63	352.54
634	22.45	336.71
635	38.49	576.27
636	20.73	323.9
637	7.36	113.09
638	21.36	321.57
639	19.35	292.58
640	45.76	691.88
641	27.73	425.28
642	32.08	486.8
643	41.44	614.75
644	13.05	195.07
645	26.97	404.33
646	7.54	113.26
647	47.48	714.98
648	11	160.99
649	9.79	151.35
650	32.87	493.57
651	6.9	105.87
652	13.16	201.76
653	8.22	124.52
654	17.8	268.97
655	11.7	178.01
656	6.22	92.17
657	26.84	401.71
658	13.09	196.92
659	21.98	324.58
660	23.26	352.21
661	50.31	752.93
662	9.6	144.21
663	26.33	398.2
664	17.82	263.12
665	17.85	274.33
666	34.27	518.78
667	68.69	1033.87
668	15.11	220.08
669	28.82	436.72
670	13.08	201.14
671	46.38	690.57
672	35.03	529.76
673	22.84	339.7
674	8.89	133.28
675	12.68	194.2
676	13.72	203.41
677	24.29	358.72
678	25.33	377.76
679	13.82	206.6
680	54.13	818.74
681	14.18	216.73
682	31.14	463.76
683	10.35	156.04
684	19.47	296.5
685	22.04	330.94
686	29.18	436.6
687	13.01	194.38
688	18.8	284.16
689	7.11	114.48
690	14.55	215.64
691	24.6	375.41
692	12.83	195.42
693	13.57	200.53
694	15.57	230.09
695	16.56	238.03
696	15.97	244.06
697	22.38	329.7
698	19.58	297.45
699	26.79	392.57
700	13	196.15
701	23.17	336.83
702	35.17	523.94
703	29.32	442.73
704	15.1	221.89
705	11.36	172.12
706	18.33	276.34
707	8.84	133.99
708	12.06	195.4
709	27.61	412.09
710	24.37	365.46
711	13.59	203.34
712	67.61	1019.68
713	8.6	131.28
714	57.76	870.59
715	14.3	226.71
716	41.91	620.03
717	32.67	491.27
718	16.86	261.62
719	47.18	714.21
720	17.15	254.08
721	13.17	199.56
722	13.9	215.47
723	36.38	553.28
724	29.86	444.05
725	10.39	157.51
726	9.11	146.48
727	15.92	237.88
728	17.1	259.5
729	25.27	378.78
730	10.82	164.16
731	50.6	757.63
732	9.42	140.97
733	16.2	240.56
734	30.45	457.18
735	18.42	270.62
736	12.77	192.42
737	21.33	325.17
738	7.39	102.66
739	16.17	242.27
740	29.36	440.19
741	6.31	98.7
742	13.94	199.74
743	11.31	166.24
744	13.68	199
745	33.71	506.44
746	34.46	517.65
747	47.93	719.5
748	34.65	519.84
749	29.83	452.38
750	7.71	114.88
751	27.75	410.34
752	18.27	272.12
753	41.98	627.3
754	49.88	745.93
755	35.26	529.2
756	26.43	397.74
757	13.13	198.2
758	11.17	166.48
759	19.98	293.46
760	25.31	383.56
761	44.56	658.98
762	56.55	852.31
763	22.06	333.45
764	11.87	174.09
765	24.02	364.8
766	12.89	200.84
767	35.51	529.68
768	10.01	151.32
769	26	390.06
770	18.39	283.56
771	14.17	212.57
772	53.97	813.57
773	10.59	163.86
774	9.18	141.82
775	17.14	249.97
776	19.42	294.29
777	12.21	190.05
778	45.85	687.71
779	33.69	514.69
780	32.93	502.16
781	9.86	160.52
782	30.92	449.55
783	25.56	381.43
784	12.86	193.75
785	49.26	742.72
786	18.69	282.77
787	18.38	274.58
788	23.58	358.05
789	22.08	325.5
790	48.65	725.76
791	27.24	409.45
792	16.03	238
793	39.78	601.46
794	17.74	267.02
795	8.85	130.4
796	18.37	270.89
797	37.5	573.72
798	7.23	110.8
799	29.63	447.31
800	18.34	282.66
801	11.69	180.1
802	14.23	213.14
803	31.15	471.83
804	7.06	99.91
805	11.95	178.52
806	10.53	156.45
807	3.88	63.49
808	14.04	218.02
809	13.72	210.28
810	16.77	255.29
811	32.92	495.29
812	47.94	722.92
813	5.26	72.29
814	28.66	433.34
815	28.83	432.24
816	19.83	297.49
817	17.98	275.67
818	14.08	214.05
819	15.8	231.76
820	11.4	177.63
821	11.57	173.29
822	36.84	543.36
823	16	250.63
824	43.4	654.01
825	23.14	342.38
826	30.2	447.97
827	28.76	428.54
828	33.9	515.78
829	25.18	379.99
830	20.62	302.62
831	21.33	317.24
832	37.16	556.79
833	17.36	258.98
834	37.78	562.66
835	36.37	550.95
836	13.96	209.44
837	14.14	218.44
838	38.5	570.84
839	32.83	492.43
840	14.82	221
841	17.61	265.68
842	13.52	206.47
843	67.2	1012.93
844	10.27	147.03
845	5.63	86.06
846	9.6	137.68
847	24.21	361.77
848	21.83	324.17
849	25.27	378.03
850	14.6	215.97
851	23.31	354.82
852	14.14	213.79
853	8.88	134.59
854	22.34	337.17
855	11.8	175.65
856	19.62	296.62
857	9.84	152.42
858	16.9	259.14
859	21.15	313.74
860	56.68	842.99
861	29.78	448.07
862	21.34	318.14
863	43.65	646.92
864	18.83	280.41
865	36.49	548.52
866	31.45	471.43
867	35.52	532.35
868	20.02	302.32
869	7.96	115.45
870	6.93	106.42
871	24.21	367.52
872	18.04	273.03
873	17.74	265.39
874	44.08	676.78
875	5.86	87.65
876	33.6	492.49
877	18.87	276.77
878	16.93	251.18
879	31.7	478.37
880	118.73	1788.14
881	34.86	521.81
882	18.78	279.3
883	12.4	182.38
884	29.86	442.06
885	40.06	602.59
886	20.14	299.57
887	34.94	525.42
888	12.07	175.46
889	10.23	159.17
890	41.68	630.98
891	12.85	204.52
892	20.82	307.43
893	3.8	60.14
894	9.09	131.73
895	35.1	524.61
896	20.99	318.57
897	36.17	534.99
898	17.93	262.76
899	16.65	258.01
900	33.73	514.17
901	47.3	701.6
902	10.61	161.93
903	20.23	301.68
904	17.19	262.61
905	26.4	394.95
906	5.22	81.15
907	53.7	809.83
908	24.27	361.63
909	35.15	525.83
910	23.31	345.16
911	11.71	179.81
912	11.02	166
913	8.45	129.71
914	25.86	393.8
915	4.27	65.77
916	20.35	299.01
917	13.5	210.08
918	12.44	183.28
919	13.73	211.38
920	9.15	129.76
921	7.96	124.68
922	9.13	136.72
923	35.21	523.41
924	20.59	315.07
925	32.33	484.23
926	9.09	127.3
927	18.51	275.66
928	12.3	185.86
929	19.07	287.72
930	22.83	343.73
931	13.74	202.62
932	13.93	212.13
933	16.47	248.22
934	41.49	620.01
935	42.04	633.6
936	21.67	322.07
937	25.68	386.95
938	15.4	230.6
939	33.26	503.81
940	21.18	315.65
941	24.68	365.74
942	117.52	1766.19
943	10.34	151.15
944	13.02	198.44
945	24.43	367.11
946	23.54	356.24
947	15.6	232.6
948	13.3	196.85
949	26.58	396.13
950	23.11	344.13
951	47.05	704.28
952	10.91	168.21
953	7.09	101.63
954	56.35	840.35
955	13.22	204.35
956	21.27	319.27
957	11.8	174.96
958	22.68	341.49
959	7.76	118.92
960	12.61	190.88
961	21.76	331.28
962	12.82	197.18
963	24.14	361.62
964	47.56	713.8
965	18.03	273.4
966	52.27	777.82
967	13.47	202.15
968	24.26	360.04
969	28.97	441.93
970	19.65	300.46
971	50.21	750.16
972	22.56	335.9
973	37.07	563.61
974	20.52	311.69
975	21.76	323.84
976	8.21	123.59
977	3.27	46.09
978	23.35	342.28
979	38.91	586.96
980	20.71	303.47
981	15.68	238.58
982	8.62	132.17
983	14.72	230.69
984	24.38	371.16
985	29.82	451.82
986	12.44	189.37
987	15.77	240.73
988	27.35	418.37
989	14.65	218.79
990	19.19	291.46
991	18.76	270.61
992	19.78	296.43
993	9.42	146.79
994	16.32	256.91
995	21.92	323.61
996	9.65	131.23
997	25.49	380.84
998	29.53	443.55
999	13.59	202.3
1000	10.26	151.27
1001	16.11	235.13
1002	10.34	160.53
1003	13.22	203.91
1004	39.34	591.99
1005	14.02	213.71
1006	19.77	286.11
1007	87.34	1306.98
1008	25.19	382.67
1009	34.53	524.12
1010	36.72	546.02
1011	17.68	256.42
1012	31.24	462.18
1013	31.52	464.81
1014	21.91	318.93
1015	16.65	249.14
1016	39.02	585.17
1017	28.4	424.43
1018	8.9	135.14
1019	26.03	391.19
1020	42.08	633.81
1021	28.99	429.26
1022	10.07	153.55
1023	18.18	275.21
1024	26.1	399.13
1025	12.22	187.85
1026	16.32	244.13
1027	29.27	440.57
1028	35.65	532.71
1029	34.53	526.55
1030	13.83	212.53
1031	21	313.62
1032	18.66	277.21
1033	7.74	120.33
1034	19.74	284.74
1035	37.93	565.76
1036	16.38	237.13
1037	16.87	258.74
1038	42.93	640.2
1039	22.51	335.83
1040	34.06	516.53
1041	9.7	146.83
1042	12.22	182.97
1043	18.39	279.68
1044	28.94	441.83
1045	74.69	1122.66
1046	25.74	380.09
1047	6.56	95.91
1048	21.65	329.13
1049	17.32	254.14
1050	19.31	284.5
1051	19.71	289.11
1052	14.61	226.4
1053	12.53	192.48
1054	32.31	487.74
1055	11.25	175.98
1056	19.17	284.26
1057	7.02	97.91
1058	13.48	204.37
1059	74.65	1123.91
1060	15.82	234.25
1061	7.18	112.16
1062	18.26	284.56
1063	9.78	141.82
1064	48.35	724.88
1065	32.43	485.22
1066	18.1	263.88
1067	12.27	182.43
1068	6.33	97.85
1069	14.95	220.81
1070	5.72	93.15
1071	15.01	224.42
1072	53.81	800.42
1073	26.54	398.83
1074	13.14	197.39
1075	20.47	312.17
1076	19.94	301.54
1077	33.21	489.49
1078	19.54	292.96
1079	13.72	206.99
1080	25.86	382.74
1081	21.25	313.58
1082	24.29	364.61
1083	13.62	208.97
1084	15.86	242.82
1085	47.54	708.26
1086	42.95	635.07
1087	28.47	433.26
1088	13.98	208.09
1089	17.09	249.03
1090	78.86	1180.94
1091	46.34	696.66
1092	26.08	391.51
1093	11.27	169.23
1094	6.19	97.73
1095	10.58	161.37
1096	12.37	183.2
1097	18.25	272.51
1098	9.23	137.48
1099	20.32	305.69
1100	15.07	220.51
1101	10.45	155.43
1102	19.89	301.19
1103	15.08	224.09
1104	9.33	133.35
1105	23.03	347.38
1106	38.09	564.79
1107	15.64	232.16
1108	37.42	564.47
1109	35.57	538.53
1110	11.31	163.38
1111	13.63	200.61
1112	23.51	354.43
1113	7.39	110.57
1114	31.79	482.18
1115	17.01	255.16
1116	19.45	290.99
1117	16.29	243.11
1118	16.27	245.47
1119	29.74	439.8
1120	8.6	134.1
1121	12.54	187.36
1122	69.17	1040.63
1123	21.1	320.02
1124	11.6	172.41
1125	55.73	837.02
1126	52.68	792.99
1127	21.97	337.58
1128	40.34	610.67
1129	22.49	332.88
1130	15.98	236.39
1131	21.36	323.01
1132	26.1	389.58
1133	25.23	370.25
1134	11.93	183.46
1135	8.24	122.09
1136	34	505.75
1137	25.2	374.29
1138	10.64	161.41
1139	21.65	324.89
1140	8.5	128.49
1141	26.21	398.96
1142	13.72	202.13
1143	19.69	296.13
1144	39.24	586.48
1145	13.15	194.44
1146	30.28	457.98
1147	36.33	549.26
1148	26.77	391.41
1149	24.97	373.32
1150	26.15	397.67
1151	22.9	342.1
1152	7.66	121.34
1153	63.27	944.97
1154	12.68	197.06
1155	23.04	348.47
1156	21.01	308.7
1157	19.17	288.19
1158	36.3	555.75
1159	40.19	610.73
1160	7.61	118.88
1161	7.97	114.95
1162	16.08	233.51
1163	12.25	180.66
1164	22.54	342.08
1165	19.86	295.93
1166	18.07	275.3
1167	35.4	522.87
1168	9.3	144.73
1169	8.63	121.79
1170	12.62	191.18
1171	17.21	255.19
1172	49.31	742.38
1173	22.66	346.59
1174	11.61	165.56
1175	20.25	310.93
1176	20.2	296.97
1177	32.5	488.16
1178	15.27	234.03
1179	10.84	165.86
1180	38.82	586.2
1181	36.85	545.84
1182	29.27	441.19
1183	13.63	201.13
1184	57.71	875.34
1185	31.32	467.4
1186	43.86	663.22
1187	8.94	127.45
1188	33.04	490.37
1189	17.57	262.82
1190	14.09	215.49
1191	29.11	428.48
1192	33.95	515.3
1193	40.35	597.36
1194	36.72	556.3
1195	10.93	164.91
1196	14.26	213.51
1197	63.78	951.42
1198	37.7	564.17
1199	43.8	651.94
1200	42.36	640.91
1201	8.96	136.31
1202	13.2	201.72
1203	25.43	382.83
1204	39.62	595.52
1205	12.16	190.25
1206	39.2	588.29
1207	11.81	179.41
1208	37.51	564.65
1209	28.58	433.97
1210	15.44	230.52
1211	24.32	371.11
1212	16.43	250.72
1213	13.32	205.18
1214	21.04	315.66
1215	37.47	565.07
1216	24.72	380.04
1217	19.52	296.28
1218	14.46	220.08
1219	20.98	307.11
1220	56.74	857.09
1221	17.76	268.58
1222	41.96	632.51
1223	6.24	93.67
1224	12	177.03
1225	21.46	325.42
1226	47.1	712.17
1227	32.81	488.33
1228	9.17	134.7
1229	15.01	231.05
1230	22.32	336.11
1231	11.47	174.14
1232	23.45	343.56
1233	12.08	185.52
1234	55.9	840.16
1235	10.39	160.55
1236	18.42	272.97
1237	12.16	192.06
1238	14.79	226.94
1239	11.34	172.11
1240	15.24	218.87
1241	14.71	216.01
1242	30.56	458.91
1243	7.81	125.23
1244	3.94	70.82
1245	29.51	444.38
1246	65.44	980.7
1247	28.74	439.29
1248	41.93	628.66
1249	9.47	142.67
1250	17.84	261.96
1251	15.92	237.01
1252	6.74	94.55
1253	18.85	274.48
1254	37.09	561.19
1255	37.01	553.92
1256	26.76	402.6
1257	23.51	356.48
1258	14.03	213.04
1259	16.14	236.47
1260	54.72	822.25
1261	43.66	656.94
1262	22.77	338.47
1263	35.28	530.22
1264	10.89	167.64
1265	77.98	1168.34
1266	30.78	461.92
1267	23.58	349.37
1268	19.06	288.59
1269	15.16	218.75
1270	39.97	600.59
1271	11.16	167
1272	16.19	246.19
1273	37.02	553.48
1274	12.1	181.9
1275	14.72	226.04
1276	22.91	332.68
1277	10.57	151.2
1278	45.92	693.54
1279	17.91	273.09
1280	5.42	89.22
1281	22.95	349.39
1282	20.45	295.74
1283	24.65	362.35
1284	8.76	133.74
1285	14.03	210.4
1286	13	196.17
1287	12.08	178.43
1288	26.74	407.36
1289	19.99	296.92
1290	36.83	545.32
1291	17.43	261.6
1292	67.58	1005.86
1293	15.81	231.19
1294	58.85	887.08
1295	13.97	214.79
1296	57.1	849.03
1297	10.18	146.83
1298	8.26	125.22
1299	59.52	898.69
1300	36.74	543.18
1301	27.57	418.42
1302	37.8	565.04
1303	14.77	228.63
1304	19.31	287.24
1305	33.08	494.79
1306	21.56	330.79
1307	27.26	416.4
1308	73.71	1106.61
1309	52.68	798.6
1310	8.47	133.91
1311	27.77	413.17
1312	75.51	1130.34
1313	15.61	237.9
1314	12.59	194.71
1315	16.66	246.83
1316	88.49	1326.33
1317	27.46	413.27
1318	5.63	91.01
1319	37.18	556.24
1320	16.63	247.43
1321	15.22	229.37
1322	30.29	456.86
1323	44.8	685.24
1324	32.19	488.57
1325	12.8	183.75
1326	18.11	272.11
1327	16.3	241.87
1328	18.97	284.17
1329	20.9	318.35
1330	8.97	133.24
1331	18.81	277.62
1332	58.46	879.47
1333	21.76	328.45
1334	21.99	325.89
1335	13.44	196.45
1336	18.29	283.29
1337	11.12	153.6
1338	18.27	271.11
1339	13.29	207.79
1340	24.2	367.92
1341	34.77	523.08
1342	40.87	614.47
1343	46.83	696.93
1344	6.67	93.97
1345	48.65	730.58
1346	28.49	429.19
1347	26.04	395.13
1348	4.99	73.95
1349	38.34	577.1
1350	12.35	179.57
1351	20.27	303.44
1352	34.82	534.75
1353	13.06	189.47
1354	32.87	486.97
1355	29.79	448.56
1356	25.75	377.85
1357	12.26	178.63
1358	23.75	362.88
