Obs	HORAS_CONSUMO_STREAMING	GASTO_STREAMING
163	13.13	 $660.10 
164	11.04	 $321.16 
165	14.66	 $503.51 
166	14.95	" $1,037.97 "
167	11.33	 $464.54 
168	16.88	 $341.27 
169	20.13	 $889.06 
170	9.51	 $833.36 
171	10.4	 $209.01 
172	16.12	 $898.56 
173	11.41	 $384.19 
174	11.27	 $691.73 
175	10.22	 $589.17 
176	13.65	 $219.10 
177	18.1	 $485.26 
178	11.75	 $387.25 
179	11.56	 $237.50 
180	10.43	 $473.55 
181	11.78	 $498.95 
182	10.82	 $795.49 
183	10.54	 $300.71 
184	12.08	 $376.20 
185	14.89	" $1,022.37 "
186	9.62	 $418.33 
187	10.49	 $398.45 
188	12.51	 $538.64 
189	12.79	 $775.04 
190	7.49	 $312.42 
191	10.97	 $398.49 
192	11.3	 $230.14 
193	11.86	 $288.68 
194	11.8	 $698.11 
195	15.25	 $745.44 
196	14.87	 $788.06 
197	11.01	 $710.39 
198	7.26	 $389.96 
199	11.44	 $446.28 
200	15.73	 $780.25 
201	15.17	 $396.70 
202	9.72	 $800.58 
203	10.68	 $789.92 
204	14.4	 $638.84 
205	18.12	 $401.56 
206	17.08	" $1,067.75 "
207	13.43	 $323.55 
208	10.86	 $405.07 
209	12.85	 $828.12 
210	10.29	 $405.10 
211	11.63	 $491.13 
212	11.15	 $300.97 
213	8.67	 $495.55 
214	18.72	 $707.77 
215	13.96	 $937.62 
216	7.74	 $360.36 
217	16.35	 $380.23 
218	9.61	 $558.88 
219	7.26	 $418.29 
220	10.97	 $715.70 
221	13.7	 $555.56 
222	7.24	 $744.15 
223	11.81	 $279.70 
224	10.35	 $444.95 
225	18.76	 $676.36 
226	10	 $732.50 
227	9.41	" $1,172.27 "
228	8.39	 $378.38 
229	13.76	 $356.73 
230	11.51	 $570.34 
231	18.07	 $783.21 
232	13.1	 $459.68 
233	9.74	 $555.88 
234	11.39	 $250.80 
235	10.3	 $479.31 
236	11.45	 $419.05 
237	18.86	 $753.78 
238	6.91	 $410.89 
239	10.29	 $363.45 
240	16.63	 $802.42 
241	18.51	 $524.82 
242	11.74	 $293.34 
243	10.12	 $391.04 
244	17.9	 $435.93 
245	14.59	 $555.36 
246	12.59	 $355.87 
247	17.08	 $588.53 
248	10.85	 $487.40 
249	12.14	 $697.49 
250	16.01	 $396.74 
251	8.3	 $293.46 
252	12.39	 $490.70 
253	15.66	 $425.28 
254	8.6	 $521.27 
255	17.25	 $613.25 
256	12.36	 $325.77 
257	21.46	 $271.42 
258	12.29	 $394.30 
259	8.48	 $458.18 
260	17.99	 $464.76 
261	11.77	 $739.05 
262	9.34	 $442.68 
263	9.11	 $188.51 
264	9.82	 $668.74 
265	6.74	 $596.32 
266	14.74	 $247.84 
267	10.75	 $576.19 
268	19.83	 $758.40 
269	14.35	 $671.82 
270	10.77	 $339.54 
271	3.18	 $324.07 
272	10.79	 $445.92 
273	13.32	 $385.50 
274	9.44	 $274.43 
275	11.37	 $491.87 
276	9.62	 $293.79 
277	13.79	 $673.42 
278	12.11	 $753.67 
279	12.06	 $669.01 
280	11.8	 $716.07 
281	10.18	 $525.24 
282	8.38	 $282.70 
283	10.82	 $599.64 
284	17.61	 $334.40 
285	11.33	 $645.51 
286	9.47	 $586.52 
287	15.34	 $580.66 
288	11.76	 $363.53 
289	14.62	 $470.66 
290	17.9	 $727.79 
291	11.93	 $262.95 
292	12.78	 $462.86 
293	13.96	 $389.30 
294	11.57	 $516.93 
295	12.66	 $845.11 
296	16.7	 $356.31 
297	13.44	 $808.33 
298	10.33	 $468.61 
299	11.43	 $437.76 
300	14.62	 $667.99 
301	9.6	 $433.26 
302	16.88	" $1,425.70 "
303	8.46	 $432.75 
304	13.3	 $394.99 
305	11.11	 $869.80 
306	18.13	 $783.32 
307	13.64	" $1,106.26 "
308	10.11	 $557.19 
309	15.19	 $350.78 
310	10.29	 $622.77 
311	11.9	 $285.71 
312	12.7	 $473.24 
313	8.9	 $330.92 
314	13.1	 $497.91 
315	14.95	 $368.56 
316	13.48	 $479.50 
317	8.76	 $556.12 
318	5.67	 $317.72 
319	11.24	 $272.58 
320	12.09	 $311.50 
321	11.51	 $306.57 
322	15.55	 $469.07 
323	15.34	 $331.10 
324	11.35	 $840.62 
325	9.38	 $761.36 
326	9.87	 $383.16 
327	20.03	 $970.17 
328	10.32	 $622.91 
329	18.29	 $844.40 
330	13.4	 $616.16 
331	12.29	 $385.94 
332	16.9	 $290.27 
333	10.82	 $425.34 
334	4.16	 $268.06 
335	14.98	 $419.32 
336	14.19	 $791.86 
337	16.02	 $332.95 
338	7	 $458.36 
339	14.71	 $821.78 
340	7.36	 $296.16 
341	8.32	 $255.75 
342	13.34	 $420.87 
343	13.65	 $223.14 
344	11.6	 $591.99 
345	15.88	 $429.99 
346	8.79	 $314.90 
347	17.18	 $343.71 
348	12.28	 $343.76 
349	16.9	 $462.61 
350	9.56	 $538.62 
351	13.72	 $392.80 
352	14.22	 $294.63 
353	12.07	 $716.83 
354	10.1	 $504.11 
355	11.5	 $534.39 
356	4.14	 $400.05 
357	8.35	 $307.60 
358	14.67	 $364.48 
359	12.16	 $479.19 
360	9.08	 $306.04 
361	7.98	 $796.99 
362	13.79	 $287.65 
363	12.58	" $1,173.15 "
364	8.86	 $357.75 
365	13.11	 $571.49 
366	7.49	 $195.11 
367	10.59	 $505.38 
368	10.99	 $354.21 
369	16.06	 $620.87 
370	10.19	 $449.30 
371	12.96	 $436.46 
372	5.19	 $801.29 
373	15.01	 $737.08 
374	11.62	 $833.27 
375	11.57	 $344.04 
376	15.28	 $778.11 
377	11.26	 $353.66 
378	10.31	 $807.80 
379	15.94	 $635.65 
380	12.35	 $610.72 
381	14.43	 $629.13 
382	10.78	 $407.12 
383	13.79	 $412.55 
384	15.43	 $256.06 
385	11.86	 $862.47 
386	15.03	 $906.88 
387	11.27	 $446.04 
388	11.48	 $765.40 
389	8.89	 $383.24 
390	14.83	 $622.63 
391	14.03	 $797.20 
392	8.9	 $451.42 
393	7.16	 $427.50 
394	9.63	 $471.25 
395	8.49	 $624.99 
396	20.02	 $528.67 
397	15.5	 $474.32 
398	12.88	 $546.21 
399	12.67	 $878.39 
400	9.45	 $270.87 
401	10.23	 $945.02 
402	11.61	 $448.31 
403	13.9	 $388.01 
404	16.42	 $280.75 
405	15.24	 $827.59 
406	8.62	 $207.56 
407	8.74	 $470.82 
408	9.3	 $218.52 
409	6.6	 $387.00 
410	14.56	" $1,168.78 "
411	14.06	 $266.71 
412	18.45	 $693.79 
413	10.4	 $508.50 
414	14.03	 $398.11 
415	9.32	 $681.18 
416	17.9	 $430.77 
417	7.51	 $479.07 
418	6.68	 $307.51 
419	10.64	 $233.58 
420	15.8	 $565.49 
421	14.04	 $336.61 
422	10.49	 $349.25 
423	10.99	 $170.74 
424	8.27	 $574.33 
425	11.71	 $241.24 
426	8.72	 $604.98 
427	13.59	 $714.99 
428	9.95	 $524.94 
429	11.91	 $385.68 
430	14.72	 $363.72 
431	10.01	 $153.69 
432	18.87	 $721.09 
433	7.8	" $1,102.44 "
434	18.2	 $459.34 
435	18.37	 $432.21 
436	17.64	 $879.83 
437	15.35	 $816.14 
438	1.29	 $497.75 
439	9.79	 $350.13 
440	13.95	 $770.33 
441	12.88	 $766.84 
442	20.63	" $1,116.33 "
443	14.98	 $769.59 
444	11.31	 $707.00 
445	15.92	 $479.62 
446	7.11	 $252.76 
447	7.55	 $457.75 
448	18.02	 $397.53 
449	8.42	 $475.18 
450	12.55	 $311.16 
451	14.83	 $800.75 
452	15.78	 $682.43 
453	14.69	 $398.03 
454	14.86	 $639.31 
455	18.52	" $1,004.02 "
456	14.66	 $369.54 
457	9.53	 $459.68 
458	4.9	 $512.06 
459	10.54	 $760.22 
460	13.06	 $580.49 
461	14.67	 $360.20 
462	7.62	 $388.85 
463	11.07	 $437.65 
464	9.89	 $377.51 
465	14.74	 $521.92 
466	14.37	" $1,048.81 "
467	12.99	 $262.06 
468	15.04	 $540.39 
469	14.28	 $433.41 
470	15.36	 $345.99 
471	13.58	 $523.33 
472	10.56	 $454.99 
473	7.72	 $586.52 
474	13.07	 $712.58 
475	5.69	 $415.03 
476	10.49	 $602.48 
477	11.4	 $586.06 
478	10.42	 $420.74 
479	16.42	 $758.09 
480	10.53	 $524.46 
481	8.26	 $309.68 
482	15.45	 $702.16 
483	15.11	 $444.24 
484	7.1	 $493.65 
485	14.05	 $433.35 
486	14.06	 $522.07 
487	12.29	 $405.13 
488	8.98	 $541.62 
489	13.59	 $621.01 
490	11.22	 $359.00 
491	10.85	 $181.85 
492	9.09	 $573.84 
493	17.1	 $631.42 
494	16.53	 $389.25 
495	13.31	 $750.66 
496	16.08	 $432.05 
497	13.78	 $408.80 
498	12.64	 $419.13 
499	16.39	 $818.50 
500	13.99	 $193.41 
501	15.16	 $307.92 
502	10.4	 $525.05 
503	14.83	 $639.51 
504	21.61	 $501.86 
505	16.83	 $620.32 
506	15.4	 $460.62 
507	14.06	 $581.67 
508	12.52	 $319.18 
509	15.47	 $578.43 
510	13.51	 $339.94 
511	17.55	 $670.48 
512	17.35	" $1,047.95 "
513	11.25	 $525.24 
514	10.64	 $885.31 
515	10.92	 $765.39 
516	10.85	 $561.08 
517	15.26	 $571.59 
518	20.53	 $665.16 
519	14.52	 $859.86 
520	13.42	 $803.23 
521	10.64	 $410.55 
522	16.72	 $619.17 
523	12.56	 $332.38 
524	10.09	 $642.42 
525	13.04	 $369.42 
526	9.77	 $443.83 
527	10.09	 $315.67 
528	14.13	 $757.48 
529	13.61	 $318.05 
530	6.02	 $462.49 
531	16.52	 $761.80 
532	10.8	 $292.71 
533	10.92	 $248.47 
534	4.11	 $364.74 
535	8.29	 $520.07 
536	12.68	 $617.84 
537	18.84	 $777.62 
538	14.44	 $724.23 
539	15.08	 $309.79 
540	16.09	 $294.82 
541	14.22	 $653.64 
542	12.14	 $363.89 
543	14.39	 $362.54 
544	17.9	 $762.95 
545	10.41	 $383.90 
546	12.1	 $222.22 
547	10.42	 $439.96 
548	7.14	 $320.43 
549	11.38	 $987.38 
550	14.75	 $620.16 
551	12.03	 $306.61 
552	20.77	" $2,221.26 "
553	16.07	 $987.16 
554	10.13	 $466.93 
555	15.56	 $414.44 
556	8.9	 $327.69 
557	14.59	 $371.67 
558	13.2	 $691.74 
559	16.97	 $669.17 
560	14.49	 $833.22 
561	9.67	 $323.23 
562	18.2	 $484.36 
563	14.52	 $997.85 
564	13.51	 $918.84 
565	10.28	 $380.97 
566	14.33	 $649.55 
567	15.31	 $536.37 
568	19.15	 $582.47 
569	15.18	 $404.42 
570	15.88	 $863.18 
571	14.35	 $448.38 
572	16.33	 $374.53 
573	12.99	 $642.58 
574	14.06	 $473.03 
575	12.43	 $551.83 
576	18.2	 $647.50 
577	6.04	 $369.87 
578	14.7	 $331.64 
579	14.58	 $320.84 
580	14.17	 $503.20 
581	13.71	 $278.43 
582	16.84	 $672.96 
583	13.25	 $708.22 
584	11.9	 $782.02 
585	13.21	 $433.84 
586	15.81	 $578.19 
587	12.93	 $490.63 
588	11.08	 $581.20 
589	10.76	 $500.08 
590	9.66	 $550.20 
591	13.19	 $797.92 
592	10.93	 $805.90 
593	18.69	 $641.97 
594	9.41	 $483.72 
595	13.27	 $341.47 
596	14.82	 $376.81 
597	13.99	 $402.18 
598	11.54	 $355.64 
599	10.32	 $227.72 
600	12.71	 $310.85 
601	3.72	 $646.28 
602	13.68	 $270.82 
603	14.4	 $469.16 
604	15.13	 $552.30 
605	9.22	 $565.05 
606	17.42	 $510.47 
607	14.73	 $564.50 
608	8.79	 $855.46 
609	13.96	 $545.63 
610	13.05	 $552.62 
611	12.84	 $443.32 
612	11.52	 $365.76 
613	10.15	 $230.78 
614	15.47	 $564.79 
615	11.02	 $432.58 
616	9.54	 $410.62 
617	10.18	 $383.58 
618	15.93	 $789.36 
619	12.8	 $487.35 
620	16.1	 $757.20 
621	11.91	 $473.06 
622	12.56	 $593.53 
623	10.33	 $337.34 
624	8.98	 $424.18 
625	15.23	" $1,064.39 "
626	14.24	 $781.49 
627	11.34	 $412.74 
628	12.85	 $719.86 
629	11.15	 $472.21 
630	14.71	 $736.14 
631	15.37	 $492.45 
632	9.03	 $518.87 
633	15.47	 $430.90 
634	9.87	 $331.16 
635	7.48	 $570.11 
636	8.71	 $618.33 
637	12.79	 $674.91 
638	7.53	 $705.91 
639	12.26	 $354.78 
640	8.44	 $325.46 
641	11.53	 $537.33 
642	9.08	 $241.07 
643	15.19	 $585.24 
644	14.01	 $358.89 
645	11.91	 $403.42 
646	15.47	 $427.30 
647	7.82	 $328.05 
648	16.57	 $472.95 
649	22.46	" $2,096.30 "
650	14.79	 $310.44 
651	14.59	 $514.85 
652	8.45	 $445.36 
653	10.65	 $421.27 
654	14.75	 $352.65 
655	14	 $434.03 
656	13.5	 $415.53 
657	16.01	 $732.19 
658	12.93	 $929.88 
659	7.12	 $443.93 
660	11.55	 $708.80 
661	9.74	 $542.71 
662	14.16	 $425.19 
663	14.25	 $696.78 
664	13.8	 $396.97 
665	9.12	 $574.12 
666	18.45	" $1,080.18 "
667	11.19	 $211.80 
668	16.88	 $661.37 
669	18.35	 $589.56 
670	18.13	 $850.68 
671	13	 $325.96 
672	14.31	 $509.70 
673	11.34	 $309.86 
674	7.58	 $380.68 
675	15.11	 $322.46 
676	15.78	 $427.72 
677	13.11	 $392.77 
678	16.16	 $437.87 
679	13.08	 $401.96 
680	9.74	 $296.64 
681	17.57	 $651.28 
682	12.57	 $354.07 
683	14.25	 $315.88 
684	4.72	 $262.69 
685	10.19	 $758.05 
686	11.89	 $471.36 
687	10.53	 $379.58 
688	12.37	 $217.84 
689	9.53	 $414.05 
690	4.27	 $194.61 
691	10.32	 $661.38 
692	6.27	 $306.82 
693	10.24	 $474.27 
694	10.19	 $356.52 
695	15.43	 $612.04 
696	8.34	 $585.26 
697	9.69	 $433.59 
698	13.13	 $301.98 
699	12.77	 $527.86 
700	9.51	 $459.06 
701	9.46	 $508.98 
702	12.93	 $442.50 
703	12.31	 $495.86 
704	9.29	 $280.35 
705	11.18	 $385.16 
706	14.48	 $405.36 
707	14.51	 $724.32 
708	9.6	 $343.93 
709	7.33	 $408.36 
710	22.49	" $1,670.11 "
711	16.34	 $796.06 
712	14.23	 $723.90 
713	11.95	 $295.23 
714	20.13	" $1,209.67 "
715	12.37	 $322.79 
716	10.91	 $226.52 
717	18.18	 $972.98 
718	6.16	 $814.87 
719	15.12	 $554.24 
720	14.44	 $340.32 
721	15.67	 $571.45 
722	10.41	 $569.02 
723	18.14	 $404.84 
724	7.2	 $410.95 
725	8.51	 $389.54 
726	11.7	 $805.70 
727	13.24	 $517.02 
728	14.62	 $314.68 
729	15.04	 $688.23 
730	12.62	 $214.22 
731	18.15	 $933.76 
732	14.19	 $352.53 
733	14.04	 $604.63 
734	15.38	 $492.97 
735	17.87	 $885.44 
736	14.91	 $658.92 
737	10.01	 $926.60 
738	12.02	 $725.53 
739	9.42	 $611.24 
740	7.72	 $474.04 
741	14.66	 $539.93 
742	9.65	 $516.60 
743	9.71	 $548.10 
744	8.89	 $786.01 
745	10.39	 $370.99 
746	11.32	" $1,082.70 "
747	14.81	 $400.70 
748	6.78	 $507.10 
749	13.91	 $317.10 
750	11.91	 $279.73 
751	12.58	 $652.20 
752	9.58	 $427.67 
753	12.66	 $323.24 
754	12.37	 $490.66 
755	14.2	 $964.21 
756	15.17	 $615.91 
757	9.71	 $489.06 
758	11.74	 $424.02 
759	18.31	 $530.15 
760	13.58	 $704.34 
761	14.58	 $757.74 
762	11.25	 $739.18 
763	13.67	 $316.44 
764	16.4	 $521.86 
765	12.08	 $690.74 
766	9.07	 $495.43 
767	13.74	 $559.82 
768	15.17	 $640.13 
769	11.71	 $244.70 
770	14.8	 $363.91 
771	10.87	 $591.72 
772	12.19	 $381.76 
773	14.11	 $434.96 
774	15.83	 $788.51 
775	14.48	 $982.44 
776	12.27	 $543.56 
777	13.33	 $794.94 
778	15.33	 $515.12 
779	20.52	 $669.36 
780	13.02	 $727.81 
781	9.69	 $463.80 
782	11.37	 $493.75 
783	19.11	 $927.71 
784	12.33	 $723.59 
785	19.02	 $772.05 
786	16.46	 $375.45 
787	9.54	 $497.35 
788	12.19	 $411.77 
789	11.61	 $395.86 
790	13.52	 $732.24 
791	16.99	 $544.25 
792	8.82	 $308.01 
793	15.71	 $569.84 
794	7.58	 $359.72 
795	12.01	 $589.65 
796	16.51	 $331.59 
797	13.08	 $752.42 
798	12	 $771.68 
799	4.93	 $312.77 
800	11.65	 $374.24 
801	11.53	 $506.89 
802	5.42	 $347.28 
803	4.27	 $202.71 
804	11.24	 $454.93 
805	18.44	 $849.17 
806	13.31	 $634.40 
807	14.34	 $456.58 
808	17.6	 $683.36 
809	14.36	 $796.13 
810	11.32	 $371.24 
811	13.49	 $567.32 
812	15.24	 $881.79 
813	13.19	 $692.18 
814	8.91	 $410.18 
815	13.78	 $693.88 
816	5.56	 $430.15 
817	10.5	 $378.71 
818	15.39	 $862.92 
819	9	 $410.20 
820	9.18	 $442.65 
821	14.42	 $483.08 
822	8.86	 $239.60 
823	12.05	 $512.20 
824	10.45	 $399.82 
825	15.08	 $502.38 
826	10.44	 $773.48 
827	11.64	 $400.11 
828	14.95	 $806.85 
829	11.47	 $333.12 
830	14.6	" $1,022.23 "
831	10.67	 $273.68 
832	12.93	" $1,272.23 "
833	11.56	 $384.82 
834	11.65	 $623.83 
835	17.4	 $720.20 
836	22.06	 $849.52 
837	13.61	 $637.49 
838	13.25	 $387.89 
839	14.6	 $958.65 
840	7.55	 $171.01 
841	11.48	" $1,017.43 "
842	10.11	 $305.15 
843	16.68	 $384.92 
844	10.86	 $690.74 
845	14.62	" $1,074.20 "
846	9.95	 $353.30 
847	15.1	 $606.78 
848	10.91	 $522.63 
849	12.56	 $220.05 
850	14.48	 $457.91 
851	16.47	 $734.91 
852	13.99	 $234.91 
853	16.05	 $494.41 
854	6.11	 $220.49 
855	12.89	 $739.61 
856	14.28	 $401.36 
857	18.03	 $690.70 
858	12.46	 $395.01 
859	17.67	 $346.95 
860	9.81	 $430.25 
861	12	 $511.16 
862	18.17	 $368.03 
863	14.04	 $282.11 
864	12.27	 $850.34 
865	14.11	 $633.45 
866	12.83	 $285.41 
867	18.25	 $701.38 
868	10.49	 $624.98 
869	13.63	 $411.10 
870	10.57	 $531.00 
871	13.18	 $413.88 
872	8.26	 $386.65 
873	8.24	 $238.17 
874	17.81	 $825.32 
875	12.87	 $280.53 
876	15.38	 $597.67 
877	7.21	 $840.35 
878	11.98	 $514.70 
879	13.16	 $317.02 
880	12.66	 $716.30 
881	12.46	 $397.30 
882	12.04	 $584.17 
883	11.54	 $620.77 
884	20.91	" $1,176.44 "
885	17.33	 $606.93 
886	11.35	 $608.52 
887	13.47	 $464.53 
888	12.44	 $648.33 
889	12.23	 $243.43 
890	13.06	 $232.65 
891	13.86	 $328.57 
892	12.04	 $294.08 
893	4.63	 $445.98 
894	11.95	 $421.71 
895	15.81	 $347.04 
896	10.74	 $361.53 
897	11.33	 $958.85 
898	10.45	 $361.53 
899	11.28	 $401.03 
900	11.97	 $508.60 
901	15.72	 $497.47 
902	16.18	 $427.11 
903	14.98	 $227.33 
904	13.38	 $528.96 
905	11.5	 $317.52 
906	13.17	 $219.63 
907	10.86	 $394.67 
908	15.13	 $578.05 
909	10.56	 $581.48 
910	9.5	 $489.27 
911	15.5	" $1,031.54 "
912	13.49	 $827.25 
913	15.37	 $512.08 
914	12.16	 $552.18 
915	17.29	 $561.98 
916	10.15	 $605.22 
917	14.63	 $707.40 
918	13.41	 $226.96 
919	11	 $363.01 
920	10.22	 $447.83 
921	15.85	 $712.77 
922	17.84	 $558.45 
923	13.43	 $299.67 
924	9.45	 $362.21 
925	15.98	" $1,041.30 "
926	14.85	 $363.30 
927	13.61	 $691.91 
928	13.89	 $516.46 
929	13.78	 $600.99 
930	11.18	 $481.87 
931	10.21	 $166.35 
932	5.51	 $651.18 
933	12.52	 $703.94 
934	11.52	 $189.08 
935	15.95	 $445.68 
936	10.81	 $348.44 
937	11.34	 $512.92 
938	10.93	 $757.09 
939	12.33	 $424.28 
940	15.68	 $389.01 
941	10.9	 $523.55 
942	12.45	 $405.28 
943	10.01	 $462.16 
944	6	 $612.62 
945	10.9	 $418.18 
946	11.32	 $295.07 
947	12.16	 $413.75 
948	8.38	 $728.66 
949	7.56	 $338.99 
950	11.46	 $710.14 
951	8.25	 $631.02 
952	15.25	 $955.00 
953	12.99	 $827.62 
954	13.52	 $359.42 
955	15.6	 $308.29 
956	4.39	 $489.75 
957	11.52	 $572.04 
958	8.16	 $545.96 
959	12.64	 $637.68 
960	10.66	 $414.34 
961	14.79	 $691.09 
962	9.35	 $629.31 
963	12.83	 $318.93 
964	17	 $887.31 
965	9.86	 $547.51 
966	12.64	 $559.67 
967	10.87	 $649.70 
968	15.87	" $1,382.98 "
969	11.11	 $527.52 
970	13.99	 $381.85 
971	16.49	 $486.37 
972	9.67	 $650.06 
973	14.7	 $218.93 
974	19.11	 $303.62 
975	8.65	 $379.48 
976	12.37	 $388.27 
977	10.69	 $237.36 
978	10.59	 $605.72 
979	6.62	 $297.00 
980	14.43	 $379.92 
981	8.91	 $283.42 
982	19.6	 $417.78 
983	10.74	 $335.30 
984	12.3	 $549.89 
985	13.63	 $654.21 
986	7.72	 $300.00 
987	12.58	 $753.25 
988	13	 $839.66 
989	12.94	 $448.89 
990	11.04	 $446.17 
991	16.26	 $761.44 
992	13.72	 $350.67 
993	15.15	 $778.21 
994	15.06	 $499.55 
995	9.65	 $518.07 
996	13.6	 $533.02 
997	15.98	 $453.34 
998	10.26	 $580.05 
999	5.75	 $198.70 
1000	16.32	 $517.18 
1001	19.78	" $1,559.68 "
1002	17.94	 $285.82 
1003	6.55	 $536.35 
1004	13.5	 $586.99 
1005	9.95	 $438.80 
1006	12.56	 $391.72 
1007	12.83	 $620.90 
1008	18.79	 $602.44 
1009	11.8	 $342.70 
1010	15.27	 $668.15 
1011	9.82	 $695.53 
1012	12.31	 $719.48 
1013	10.89	 $621.88 
1014	12.4	 $348.74 
1015	9.29	 $382.19 
1016	13.31	 $259.20 
1017	9.28	 $403.09 
1018	13.38	 $552.36 
1019	10.45	 $672.80 
1020	11.38	 $218.80 
1021	11.68	 $320.28 
1022	11.95	 $341.64 
1023	16.56	 $403.53 
1024	12.3	 $830.47 
1025	14.16	 $395.92 
1026	18.78	 $854.67 
1027	14.31	 $517.55 
1028	11.71	 $375.43 
1029	16.79	 $732.35 
1030	11.74	 $544.62 
1031	16.12	 $633.78 
1032	13.55	 $293.22 
1033	10.07	 $421.64 
1034	8.61	 $576.04 
1035	10.04	 $432.24 
1036	13.06	 $283.45 
1037	7.24	 $338.63 
1038	12.46	 $287.60 
1039	7.11	 $341.51 
1040	7.97	 $395.84 
1041	13.27	 $394.82 
1042	16.5	 $767.34 
1043	11.23	 $473.36 
1044	9.5	 $257.15 
1045	9.74	 $972.81 
1046	13.21	 $387.50 
1047	13.68	" $1,028.10 "
1048	17.87	 $482.59 
1049	16.6	" $1,458.50 "
1050	13.39	 $566.41 
1051	16.17	 $933.27 
1052	15.6	 $326.87 
1053	15.88	 $534.70 
1054	11.45	 $249.00 
1055	11.11	 $343.80 
1056	9.13	 $234.70 
1057	13.87	 $386.58 
1058	13.38	 $488.86 
1059	15.12	 $245.92 
1060	11.71	 $721.53 
