Obs	NO_SEGUIDORES	INGRESOS_POR_CONTENIDO_ONLINE
98	11473	" $6,180.04 "
99	11174	" $3,778.88 "
100	3091	" $1,389.41 "
101	21386	" $10,160.72 "
102	9700	" $3,649.85 "
103	21850	" $9,678.47 "
104	37203	" $9,804.69 "
105	23640	" $6,769.54 "
106	110339	" $30,455.16 "
107	13904	" $3,033.26 "
108	11220	" $7,119.17 "
109	16529	" $7,833.20 "
110	33996	" $10,049.52 "
111	19341	" $8,339.04 "
112	14277	" $8,083.73 "
113	11806	" $1,485.75 "
114	1977	 $950.29 
115	7426	" $4,348.62 "
116	14155	" $5,413.33 "
117	10764	" $8,052.98 "
118	4544	" $1,898.35 "
119	27416	" $7,700.16 "
120	7612	" $3,720.92 "
121	40527	" $9,822.71 "
122	9667	" $1,740.43 "
123	7584	" $4,250.14 "
124	8323	" $3,628.84 "
125	10746	" $5,693.77 "
126	3090	" $2,458.70 "
127	14544	" $7,255.83 "
128	18548	" $4,336.07 "
129	7902	" $4,014.89 "
130	4099	" $6,042.16 "
131	7663	" $2,796.79 "
132	61616	" $18,627.09 "
133	16532	" $5,983.87 "
134	28882	" $10,434.48 "
135	16357	" $5,035.57 "
136	68331	" $19,936.60 "
137	19513	" $5,772.17 "
138	15868	" $9,680.23 "
139	21321	" $4,942.27 "
140	1224	" $1,689.73 "
141	15720	" $2,468.95 "
142	12672	" $5,908.52 "
143	26006	" $9,999.39 "
144	134662	" $34,781.88 "
145	4039	" $2,893.21 "
146	10044	" $4,655.39 "
147	2279	" $5,122.30 "
148	108022	" $26,935.64 "
149	17961	" $6,471.16 "
150	27747	" $8,446.42 "
151	69848	" $17,368.34 "
152	13435	" $4,029.59 "
153	43717	" $12,687.68 "
154	16048	" $7,929.53 "
155	16806	" $6,914.88 "
156	7406	" $5,510.62 "
157	5804	 $923.51 
158	43150	" $12,413.54 "
159	22636	" $9,305.10 "
160	3439	" $3,556.50 "
161	3498	" $1,509.17 "
162	27279	" $11,187.29 "
163	7142	" $2,220.78 "
164	64750	" $17,540.22 "
165	23286	" $8,140.47 "
166	4969	" $6,105.27 "
167	44857	" $11,802.99 "
168	15459	" $5,260.18 "
169	9430	" $2,444.93 "
170	13399	" $5,121.98 "
171	33902	" $10,197.14 "
172	54452	" $13,900.10 "
173	6623	" $4,731.81 "
174	28615	" $8,002.45 "
175	5970	" $5,545.55 "
176	12257	" $5,964.25 "
177	10676	" $2,021.42 "
178	11104	" $5,490.62 "
179	14091	" $6,323.99 "
180	12783	" $6,888.60 "
181	65602	" $18,102.45 "
182	13088	" $5,629.40 "
183	9139	" $2,547.10 "
184	8765	" $2,510.98 "
185	7925	" $4,006.41 "
186	4032	" $3,732.70 "
187	15681	" $7,105.56 "
188	44990	" $15,995.46 "
189	5783	" $4,662.46 "
190	71864	" $19,913.44 "
191	5144	" $4,404.26 "
192	2177	" $1,924.12 "
193	11425	" $3,479.10 "
194	18583	" $4,909.71 "
195	13363	" $6,484.20 "
196	7315	" $1,918.61 "
197	17675	" $6,866.70 "
198	4437	" $3,267.81 "
199	7154	" $3,057.54 "
200	20979	" $7,995.77 "
201	8955	" $4,919.42 "
202	52772	" $15,501.01 "
203	7699	" $1,397.51 "
204	3660	" $3,081.14 "
205	9382	" $5,152.00 "
206	21128	" $5,574.89 "
207	22920	" $7,543.86 "
208	21174	" $10,094.94 "
209	18627	" $9,330.28 "
210	60639	" $16,792.36 "
211	13555	" $5,795.21 "
212	24616	" $8,838.99 "
213	3646	" $2,445.41 "
214	8093	" $1,170.59 "
215	10383	" $3,865.12 "
216	13136	" $7,437.48 "
217	25697	" $8,705.47 "
218	33222	" $9,354.50 "
219	6508	" $3,714.62 "
220	27631	" $8,082.86 "
221	26203	" $4,928.05 "
222	27733	" $8,940.63 "
223	5846	" $4,490.01 "
224	14920	" $6,836.41 "
225	9868	" $3,953.01 "
226	5493	" $4,672.04 "
227	11848	" $5,425.26 "
228	11409	" $4,302.86 "
229	20488	" $7,523.53 "
230	5560	" $4,129.96 "
231	7739	" $2,478.56 "
232	4146	" $1,923.96 "
233	21016	" $7,173.00 "
234	43031	" $12,470.51 "
235	3048	" $1,189.32 "
236	24280	" $6,862.93 "
237	8417	" $3,342.60 "
238	8749	 $714.65 
239	10536	" $5,210.32 "
240	8353	" $2,542.35 "
241	4479	 $242.95 
242	13721	" $4,680.78 "
243	31556	" $6,818.28 "
244	9156	" $5,030.62 "
245	24942	" $9,019.83 "
246	20295	" $7,716.79 "
247	26004	" $7,583.41 "
248	43008	" $12,671.46 "
249	20968	" $6,271.56 "
250	15577	" $4,971.59 "
251	22226	" $11,272.17 "
252	32262	" $11,600.08 "
253	25453	" $8,545.35 "
254	18608	" $5,087.92 "
255	11886	" $4,071.01 "
256	4492	" $3,045.91 "
257	9732	" $4,063.73 "
258	27797	" $10,991.16 "
259	11078	" $4,030.23 "
260	16788	" $5,433.19 "
261	6249	" $4,223.19 "
262	9471	" $3,380.16 "
263	19883	" $8,706.86 "
264	23885	" $7,666.63 "
265	52079	" $15,474.62 "
266	10362	" $4,630.60 "
267	7092	" $2,667.74 "
268	21819	" $10,451.11 "
269	16412	" $6,437.75 "
270	4401	" $4,849.96 "
271	8214	" $2,757.78 "
272	9523	" $5,194.50 "
273	61136	" $15,972.15 "
274	16008	" $6,397.43 "
275	23141	" $11,528.89 "
276	9022	" $3,521.19 "
277	13624	" $6,239.40 "
278	15457	" $7,859.21 "
279	17850	" $5,118.64 "
280	7348	" $5,678.37 "
281	27822	" $8,998.57 "
282	8174	" $4,754.80 "
283	12926	" $6,520.94 "
284	16937	" $5,932.47 "
285	14884	" $3,964.56 "
286	24180	" $6,269.29 "
287	4165	" $3,460.14 "
288	6473	" $3,707.53 "
289	35361	" $10,451.85 "
290	6736	" $2,926.28 "
291	33794	" $11,138.15 "
292	11878	" $4,446.00 "
293	19915	" $7,498.84 "
294	10805	" $3,866.58 "
295	9009	" $5,703.05 "
296	23171	" $8,983.76 "
297	21507	" $8,499.79 "
298	12403	" $9,185.99 "
299	3189	" $2,879.19 "
300	11096	" $3,731.44 "
301	33374	" $8,908.25 "
302	9242	" $4,832.39 "
303	12791	" $5,259.64 "
304	3965	" $3,763.74 "
305	7848	" $4,482.91 "
306	38754	" $12,474.49 "
307	15122	" $7,568.08 "
308	10894	" $5,044.08 "
309	17950	" $5,015.52 "
310	9152	" $5,748.30 "
311	12616	" $1,555.03 "
312	17365	" $8,239.47 "
313	3231	" $4,529.01 "
314	4867	" $1,775.76 "
315	4793	" $1,620.19 "
316	6546	" $2,513.07 "
317	9395	" $2,930.13 "
318	90331	" $24,100.40 "
319	22651	" $8,653.18 "
320	19899	" $6,955.00 "
321	22672	" $8,328.01 "
322	8395	" $5,521.99 "
323	3649	" $3,234.32 "
324	10196	" $4,044.87 "
325	30038	" $8,581.06 "
326	15876	" $5,703.48 "
327	11887	" $5,607.27 "
328	17389	" $7,047.30 "
329	11326	" $5,240.24 "
330	14574	" $7,918.51 "
331	37153	" $11,575.93 "
332	16541	" $7,200.43 "
333	7146	" $1,235.61 "
334	16693	" $6,475.01 "
335	7872	" $3,060.37 "
336	12240	" $5,789.80 "
337	9585	" $5,294.43 "
338	3747	" $4,494.96 "
339	18082	" $8,253.96 "
340	39169	" $12,800.40 "
341	30240	" $10,514.87 "
342	7525	" $6,174.73 "
343	28122	" $11,368.25 "
344	24770	" $8,566.15 "
345	4704	" $2,928.60 "
346	3190	" $4,271.14 "
347	44800	" $12,609.07 "
348	38910	" $10,267.91 "
349	6582	" $3,715.48 "
350	13445	" $2,914.84 "
351	58074	" $16,090.37 "
352	12259	" $5,733.89 "
353	1781	" $4,504.26 "
354	5168	" $4,494.62 "
355	10757	" $1,609.23 "
356	7945	" $2,783.91 "
357	11173	" $5,930.20 "
358	3219	" $1,934.94 "
359	6011	" $3,258.98 "
360	16688	" $5,819.16 "
361	27808	" $10,076.47 "
362	23585	" $9,494.24 "
363	10139	" $4,052.27 "
364	22962	" $5,206.15 "
365	8248	" $2,982.12 "
366	48860	" $16,323.67 "
367	15008	" $4,212.59 "
368	7729	" $5,051.49 "
369	4380	" $2,655.88 "
370	13565	" $7,518.75 "
371	16466	" $7,986.17 "
372	30954	" $13,081.11 "
373	4979	" $4,072.51 "
374	8108	" $3,918.27 "
375	20787	" $9,530.83 "
376	15773	" $4,842.43 "
377	13163	" $4,784.55 "
378	23187	" $6,311.62 "
379	7412	" $2,995.52 "
380	11383	" $7,236.10 "
381	16238	" $3,769.43 "
382	11109	" $2,950.21 "
383	2920	" $6,139.61 "
384	47566	" $15,566.98 "
385	27450	" $7,933.72 "
386	20441	" $7,419.14 "
387	14990	" $4,607.26 "
388	10257	" $5,777.84 "
389	11734	" $5,168.25 "
390	6398	" $2,843.31 "
391	42264	" $10,388.50 "
392	8387	" $2,410.86 "
393	16794	" $5,464.73 "
394	22175	" $5,831.28 "
395	5294	" $6,113.49 "
396	17353	" $5,709.02 "
397	22434	" $6,112.22 "
398	9992	" $3,630.19 "
399	29186	" $8,250.52 "
400	17949	" $5,755.55 "
401	13432	" $4,471.31 "
402	35309	" $10,715.10 "
403	23830	" $6,927.41 "
404	4069	" $1,075.81 "
405	35842	" $10,312.23 "
406	12012	" $4,677.06 "
407	20457	" $6,969.23 "
408	7041	" $3,595.42 "
409	10683	" $4,316.74 "
410	22303	" $6,903.07 "
411	12726	" $6,200.10 "
412	11169	" $5,910.31 "
413	23263	" $9,242.95 "
414	14069	" $5,476.10 "
415	13121	" $7,714.13 "
416	5828	 $574.21 
417	14426	" $7,330.15 "
418	17313	" $9,076.83 "
419	22171	" $5,886.51 "
420	13042	" $5,150.39 "
421	11307	" $4,527.32 "
422	5798	" $4,479.19 "
423	22722	" $8,878.94 "
424	19436	" $6,575.55 "
425	15079	" $5,166.58 "
426	10589	" $6,064.45 "
427	22331	" $5,996.63 "
428	15809	" $8,634.48 "
429	5536	" $2,856.52 "
430	15040	" $7,128.58 "
431	27000	" $12,058.30 "
432	4301	" $3,632.91 "
433	3416	" $4,997.63 "
434	3949	" $2,943.09 "
435	50451	" $15,032.25 "
436	7673	" $6,270.34 "
437	32619	" $8,709.67 "
438	8466	" $3,097.55 "
439	2235	" $2,763.58 "
440	25389	" $8,591.92 "
441	5793	" $2,243.58 "
442	50948	" $13,000.44 "
443	13076	" $5,203.16 "
444	14108	" $5,730.60 "
445	18189	" $7,932.29 "
446	36248	" $8,735.69 "
447	9192	" $4,847.20 "
448	24426	" $9,165.60 "
449	10049	" $3,490.07 "
450	63098	" $17,646.44 "
451	10480	" $2,547.69 "
452	30445	" $10,769.40 "
453	14848	" $8,377.28 "
454	14909	" $6,401.51 "
455	12248	" $3,970.58 "
456	48574	" $13,664.12 "
457	10355	" $6,254.52 "
458	23028	" $4,598.70 "
459	2496	" $5,331.74 "
460	6742	" $2,779.73 "
461	24684	" $6,309.12 "
462	3614	" $3,700.54 "
463	6189	" $4,730.96 "
464	9698	" $6,041.67 "
465	11239	" $3,817.07 "
466	16572	" $7,948.67 "
467	11463	" $5,070.50 "
468	5756	" $4,082.81 "
469	15427	" $6,573.05 "
470	4780	" $3,629.41 "
471	4696	" $3,873.50 "
472	44103	" $11,999.54 "
473	48262	" $14,944.91 "
474	13866	" $7,999.03 "
475	14864	" $3,447.22 "
476	31878	" $7,860.96 "
477	5026	" $4,736.06 "
478	34165	" $9,707.83 "
479	34906	" $10,320.96 "
480	9269	" $4,206.16 "
481	27201	" $6,843.96 "
482	9253	" $3,361.89 "
483	39248	" $12,109.53 "
484	12154	" $4,077.74 "
485	4251	" $3,361.47 "
486	15958	" $5,841.33 "
487	9217	" $4,824.23 "
488	28042	" $7,180.11 "
489	20895	" $4,228.57 "
490	30790	" $10,878.91 "
491	11704	" $6,328.31 "
492	30906	" $9,098.28 "
493	8214	" $6,502.37 "
494	26079	" $10,167.45 "
495	14587	" $6,924.33 "
496	41119	" $14,151.91 "
497	18460	" $7,837.93 "
498	7322	" $4,057.02 "
499	17619	" $4,870.86 "
500	9914	" $3,236.27 "
501	19504	" $9,582.81 "
502	28195	" $10,909.60 "
503	11652	" $3,705.15 "
504	4175	" $4,090.22 "
505	29717	" $7,013.18 "
506	7806	" $2,043.04 "
507	55271	" $15,549.84 "
508	31892	" $12,290.01 "
509	6875	" $5,057.76 "
510	5814	" $3,237.11 "
511	16489	" $4,259.24 "
512	15084	" $5,129.17 "
513	5814	" $2,354.94 "
514	148113	" $38,985.39 "
515	45658	" $16,236.76 "
516	5128	" $3,708.84 "
517	6306	" $4,299.24 "
518	992	" $4,080.53 "
519	13375	" $2,939.38 "
520	21258	" $7,433.19 "
521	28642	" $10,721.66 "
522	4460	" $2,450.98 "
523	26257	" $6,897.16 "
524	17204	" $6,330.77 "
525	7977	" $3,503.43 "
526	19619	" $5,737.79 "
527	7849	" $2,580.94 "
528	12259	" $4,572.29 "
529	79736	" $22,304.26 "
530	7451	" $4,683.34 "
531	55509	" $16,674.06 "
532	14420	" $7,563.73 "
533	17741	" $4,789.08 "
534	16471	" $6,339.38 "
535	25174	" $9,256.75 "
536	13306	" $4,776.00 "
537	11209	" $4,890.32 "
538	9491	" $4,808.05 "
539	12185	" $5,657.81 "
540	7927	" $6,757.00 "
541	5555	" $2,882.34 "
542	14884	" $5,317.20 "
543	8669	" $5,171.72 "
544	5652	" $2,212.19 "
545	4534	" $1,140.15 "
546	13083	" $5,565.83 "
547	4761	" $3,355.99 "
548	12302	" $5,095.57 "
549	7535	" $3,713.36 "
550	20569	" $8,270.41 "
551	47281	" $13,341.43 "
552	22541	" $6,956.75 "
553	7728	" $4,043.25 "
554	17964	" $4,559.00 "
555	5737	" $3,701.18 "
556	15734	" $5,494.86 "
557	13133	" $6,396.54 "
558	7194	" $3,892.62 "
559	5975	" $3,023.02 "
560	46954	" $13,162.36 "
561	9891	" $4,176.50 "
562	6566	" $7,934.24 "
563	6297	" $5,993.08 "
564	30582	" $10,012.17 "
565	20175	" $8,615.47 "
566	20991	" $2,460.41 "
567	6018	" $5,311.17 "
568	11392	" $4,464.81 "
569	22059	" $7,155.50 "
570	17987	" $6,639.09 "
571	28848	" $10,268.21 "
572	5375	" $1,545.83 "
573	14284	" $4,777.44 "
574	56433	" $17,494.54 "
575	6354	" $3,447.59 "
576	9219	" $4,917.90 "
577	15139	" $5,770.74 "
578	3721	" $4,889.69 "
579	21031	" $7,555.03 "
580	102263	" $26,526.64 "
581	7524	" $6,393.03 "
582	5354	" $3,230.04 "
583	33253	" $7,222.41 "
584	58714	" $18,745.98 "
585	4287	" $3,764.98 "
586	7208	" $3,405.43 "
587	8611	" $3,558.77 "
588	17989	" $5,408.10 "
589	3271	" $3,868.68 "
590	12163	" $4,995.59 "
591	19942	" $7,027.22 "
592	13958	" $5,882.83 "
593	10608	" $3,873.19 "
594	3777	" $1,897.70 "
595	3994	" $2,677.28 "
596	22725	" $7,765.85 "
597	11662	" $4,893.86 "
598	15366	" $6,926.25 "
599	29486	" $8,133.98 "
600	7155	" $4,902.01 "
601	7078	" $6,671.04 "
602	6968	" $2,037.02 "
603	13633	" $4,292.83 "
604	15985	" $5,113.49 "
605	2738	" $1,075.03 "
606	19467	" $7,771.79 "
607	7633	" $5,083.53 "
608	14608	" $3,691.21 "
609	62431	" $15,373.46 "
610	21231	" $3,679.18 "
611	8779	" $5,318.05 "
612	2767	" $3,744.58 "
613	54182	" $17,885.40 "
614	11134	" $4,030.16 "
615	11752	" $4,742.08 "
616	10000	" $3,377.71 "
617	27166	" $8,988.97 "
618	22162	" $7,538.63 "
619	32152	" $9,113.08 "
620	32363	" $9,738.11 "
621	9893	" $6,819.17 "
622	10525	" $5,883.26 "
623	13432	" $4,669.27 "
624	12406	" $4,340.77 "
625	23111	" $8,508.78 "
626	5429	" $3,460.07 "
627	7932	" $4,885.74 "
628	16701	" $5,355.28 "
629	7627	" $2,709.07 "
630	30352	" $9,877.75 "
631	4511	" $1,529.68 "
632	22187	" $11,346.62 "
633	6148	" $4,666.07 "
634	39092	" $10,952.31 "
635	17039	" $7,373.69 "
636	50031	" $15,865.86 "
637	7073	" $5,162.02 "
638	18563	" $8,577.60 "
639	6982	" $4,268.54 "
640	31232	" $9,619.14 "
641	26747	" $9,465.24 "
642	26772	" $9,186.91 "
643	16106	" $7,187.31 "
644	4199	" $4,113.17 "
645	5651	" $4,697.39 "
646	13646	" $6,606.24 "
647	3231	" $2,647.71 "
648	19105	" $6,614.28 "
649	23724	" $7,500.82 "
650	8517	" $3,139.13 "
651	22106	" $10,058.98 "
652	5631	" $4,852.84 "
653	19320	" $7,157.87 "
654	17168	" $6,332.26 "
655	51463	" $16,660.65 "
656	49568	" $15,375.03 "
657	7972	" $3,714.30 "
658	15774	" $6,218.69 "
659	10864	" $5,788.08 "
660	6053	" $4,320.44 "
661	15834	" $6,848.19 "
662	16782	" $6,158.95 "
663	28134	" $8,677.02 "
664	8510	" $3,929.88 "
665	8436	 $999.26 
666	6582	" $4,436.50 "
667	10181	" $3,976.20 "
668	37416	" $11,431.78 "
669	31480	" $7,365.05 "
670	49590	" $11,144.51 "
671	32306	" $8,899.27 "
672	12344	" $6,043.60 "
673	2291	" $4,290.05 "
674	7515	" $2,181.01 "
675	19861	" $5,048.12 "
676	8970	" $2,854.98 "
677	12164	" $4,644.32 "
678	44744	" $13,003.85 "
679	6550	" $2,229.84 "
680	14019	" $7,747.07 "
681	15509	" $4,740.24 "
682	6120	" $4,167.63 "
683	14767	" $5,101.46 "
684	6453	" $5,504.75 "
685	6780	" $3,752.40 "
686	27569	" $9,322.85 "
687	8349	" $4,728.10 "
688	29622	" $8,002.80 "
689	8893	" $5,261.95 "
690	10877	" $6,277.08 "
691	36754	" $10,156.29 "
692	4526	" $2,379.28 "
693	66488	" $20,935.06 "
694	1434	 $576.52 
695	6172	" $3,281.70 "
696	29060	" $8,625.91 "
697	14828	" $6,437.89 "
698	7034	" $1,619.67 "
699	7812	" $2,657.91 "
700	5298	-$15.07 
701	3865	" $4,166.22 "
702	10510	" $5,126.41 "
703	10543	" $6,006.84 "
704	5510	" $1,352.88 "
705	48145	" $13,117.09 "
706	6861	" $3,947.81 "
707	7893	" $3,727.52 "
708	20414	" $7,107.97 "
709	22448	" $5,551.94 "
710	8803	" $5,547.89 "
711	45164	" $11,887.27 "
712	9965	" $4,115.15 "
713	6635	" $4,244.22 "
714	16255	" $5,213.76 "
715	39100	" $13,964.18 "
716	2913	" $3,634.68 "
717	15692	" $6,804.26 "
718	12075	" $6,837.04 "
719	10333	" $6,568.72 "
720	14215	" $6,495.30 "
721	9105	" $7,997.08 "
722	15236	" $6,742.43 "
723	24822	" $9,255.12 "
724	18308	" $4,043.21 "
725	25352	" $5,851.12 "
726	8197	" $3,397.16 "
727	5847	" $4,434.77 "
728	66609	" $18,937.95 "
729	12993	" $4,364.33 "
730	28667	" $10,191.13 "
731	28648	" $9,257.56 "
732	19433	" $5,900.64 "
733	9861	" $5,570.30 "
734	11497	" $7,211.54 "
735	1974	" $4,938.29 "
736	4891	" $1,219.43 "
737	54892	" $17,266.37 "
738	5509	" $3,246.41 "
739	6706	" $3,857.13 "
740	29319	" $9,846.52 "
741	19548	" $7,381.77 "
742	6805	" $3,260.19 "
743	14466	" $4,240.61 "
744	19145	" $7,364.57 "
745	4255	" $4,191.13 "
746	41687	" $9,731.12 "
747	22403	" $6,996.42 "
748	8146	" $4,985.89 "
749	10361	" $7,563.20 "
750	2848	" $4,522.18 "
751	45723	" $13,146.04 "
752	25957	" $6,829.42 "
753	4880	" $2,794.66 "
754	3948	" $3,948.60 "
755	13715	" $6,563.01 "
756	34515	" $9,328.69 "
757	9008	" $7,281.48 "
758	32161	" $10,841.66 "
759	5589	" $5,583.91 "
760	11219	" $6,551.89 "
761	22351	" $7,802.42 "
762	45280	" $13,888.77 "
763	12964	" $3,182.62 "
764	10148	" $3,926.16 "
765	16684	" $7,820.43 "
766	11188	" $4,294.01 "
767	40168	" $11,153.19 "
768	5595	" $5,658.47 "
769	5857	" $2,805.15 "
770	15086	" $5,636.63 "
771	14636	" $6,308.99 "
772	27730	" $7,458.85 "
773	8887	" $1,834.11 "
774	6847	" $1,688.02 "
775	9147	" $2,213.83 "
776	25538	" $10,075.81 "
777	6140	" $4,727.03 "
778	22258	" $8,495.43 "
779	8782	" $4,490.21 "
780	9483	" $4,975.92 "
781	21303	" $8,173.15 "
782	9068	" $3,864.21 "
783	15609	" $6,671.56 "
784	9023	" $6,078.52 "
785	10363	" $7,029.02 "
786	2767	" $3,032.38 "
787	9727	" $3,645.20 "
788	53802	" $15,726.20 "
789	15437	" $7,399.47 "
790	30373	" $10,284.67 "
791	9263	" $4,279.30 "
792	7436	" $5,721.75 "
793	6071	" $3,014.53 "
794	19851	" $8,784.33 "
795	18066	" $4,543.04 "
796	37279	" $12,030.58 "
797	14142	" $7,968.47 "
798	57624	" $15,379.07 "
799	29372	" $10,073.87 "
800	75656	" $19,963.81 "
801	19423	" $6,515.03 "
802	21612	" $7,327.50 "
803	26711	" $9,185.20 "
804	7038	" $3,877.72 "
805	6381	" $6,103.32 "
806	4731	" $2,800.64 "
807	11542	" $7,929.09 "
808	5473	 $797.13 
809	21053	" $7,058.41 "
810	25736	" $7,892.99 "
811	17087	" $7,487.00 "
812	8914	" $3,497.69 "
813	16256	" $6,828.43 "
814	9151	" $5,437.70 "
815	4588	" $5,467.96 "
816	5587	" $5,721.47 "
817	3124	" $2,336.25 "
818	13770	" $5,221.35 "
819	16260	" $3,389.55 "
820	25276	" $8,580.78 "
821	24121	" $9,373.47 "
822	4889	" $2,771.53 "
823	20790	" $6,738.87 "
824	26766	" $11,036.84 "
825	6432	" $3,195.60 "
826	7602	" $1,430.33 "
827	5645	" $3,480.63 "
828	5003	" $5,869.12 "
829	20359	" $8,580.50 "
830	22319	" $5,887.39 "
831	8169	" $3,218.10 "
832	20718	" $7,240.16 "
833	16071	" $7,065.87 "
834	79362	" $23,535.48 "
835	4020	" $3,254.81 "
836	13483	" $4,340.37 "
837	18565	" $7,370.43 "
838	11593	" $7,435.26 "
839	45105	" $11,715.53 "
840	2691	" $1,512.26 "
841	14998	" $6,072.10 "
842	24564	" $6,158.41 "
843	19049	" $6,362.98 "
844	16623	" $9,056.46 "
845	18081	" $4,948.47 "
846	25240	" $7,610.82 "
847	1368	" $1,200.92 "
848	18593	" $8,701.42 "
849	9669	" $4,452.33 "
850	14318	" $7,256.59 "
851	5858	" $3,547.04 "
852	4363	" $2,115.62 "
853	8724	" $7,065.67 "
854	6730	" $4,932.56 "
855	23285	" $9,022.13 "
856	16541	" $5,362.28 "
857	3593	" $3,701.84 "
858	12128	" $3,680.37 "
859	40233	" $12,671.35 "
860	7874	" $4,683.03 "
861	34724	" $12,152.61 "
862	6046	" $1,876.74 "
863	10143	" $5,885.21 "
864	9075	" $2,038.87 "
865	37473	" $10,112.85 "
866	15587	" $7,996.39 "
867	7623	" $4,328.81 "
868	23956	" $6,668.98 "
869	20332	" $7,017.33 "
870	16508	" $4,413.16 "
871	11538	" $7,711.95 "
872	15811	" $4,549.12 "
873	24135	" $5,957.67 "
874	20131	" $6,766.37 "
875	4843	" $4,255.00 "
876	34039	" $9,646.75 "
877	11084	" $2,391.96 "
878	8246	" $5,086.37 "
879	22707	" $8,945.81 "
880	9264	" $4,143.16 "
881	2286	" $3,191.35 "
882	5835	" $3,399.00 "
883	16617	" $6,996.44 "
884	5681	" $1,987.37 "
885	6374	" $3,030.79 "
886	20521	" $9,519.13 "
887	26440	" $9,003.58 "
888	112634	" $29,240.06 "
889	15646	" $5,881.28 "
890	1588	" $1,629.26 "
891	8098	" $2,237.91 "
892	47330	" $14,022.45 "
893	4371	" $4,026.73 "
894	43964	" $13,156.89 "
895	3952	" $2,845.67 "
896	28975	" $7,201.06 "
897	5088	" $2,310.89 "
898	44316	" $13,462.84 "
899	18910	" $5,837.54 "
900	12773	" $5,188.20 "
901	19661	" $7,002.41 "
902	5717	" $3,366.53 "
903	11048	" $4,381.39 "
904	8028	" $3,747.91 "
905	3651	-$22.21 
906	10101	" $4,940.87 "
907	15257	" $7,038.24 "
908	21773	" $6,202.65 "
909	10962	" $4,999.31 "
910	8044	" $4,638.57 "
911	28891	" $8,980.37 "
912	19615	" $5,927.71 "
913	16924	" $7,387.32 "
914	54087	" $15,234.52 "
915	14296	" $3,740.13 "
916	11497	" $2,773.52 "
917	11692	" $6,375.49 "
918	67423	" $17,062.93 "
919	7429	" $1,126.53 "
920	20120	" $5,642.95 "
921	41128	" $11,587.37 "
922	16294	" $6,064.68 "
923	8977	" $6,203.93 "
924	2414	" $4,040.06 "
925	6833	" $3,419.58 "
926	14262	" $5,124.88 "
927	19712	" $6,765.37 "
928	9065	" $5,752.86 "
929	24506	" $10,615.40 "
930	39142	" $11,064.56 "
